word_ID_full,freq
3,2.5885276454752537e-5
5,1.2942638227376268e-5
6,1.2942638227376268e-5
8,1.2942638227376268e-5
9,5.1770552909505074e-5
10,2.5885276454752537e-5
13,1.2942638227376268e-5
15,1.0354110581901015e-4
19,1.2942638227376268e-5
21,1.1648374404638641e-4
22,3.8827914682128805e-5
25,9.059846759163387e-5
32,1.2942638227376268e-5
36,1.2942638227376268e-5
37,1.2942638227376268e-5
38,2.070822116380203e-4
39,1.2942638227376268e-5
40,2.5885276454752537e-5
42,1.0354110581901015e-4
43,1.0354110581901015e-4
44,1.2942638227376268e-5
45,1.2942638227376267e-4
46,1.2942638227376268e-5
49,3.8827914682128805e-5
51,6.471319113688134e-5
52,3.8827914682128805e-5
53,1.2942638227376268e-5
56,5.1770552909505074e-5
57,2.5885276454752537e-5
59,1.0354110581901015e-4
60,7.765582936425761e-5
61,5.1770552909505074e-5
62,1.2942638227376267e-4
63,3.8827914682128805e-5
65,2.5885276454752537e-5
67,6.471319113688134e-5
68,6.471319113688134e-5
69,1.2942638227376268e-5
70,1.2942638227376268e-5
71,2.5885276454752537e-5
72,0.0024332159867467384
76,1.2942638227376268e-5
77,1.2942638227376268e-5
80,1.2942638227376268e-5
83,1.2942638227376268e-5
84,1.2942638227376268e-5
86,1.1648374404638641e-4
88,3.8827914682128805e-5
96,1.2942638227376268e-5
98,0.0013719196521018845
99,3.8827914682128805e-5
103,1.2942638227376268e-5
106,6.989024642783185e-4
107,1.2942638227376268e-5
108,1.2942638227376267e-4
114,1.2942638227376268e-5
119,5.565334437771795e-4
122,1.2942638227376268e-5
127,5.1770552909505074e-5
128,1.2942638227376268e-5
130,1.2942638227376268e-5
131,3.8827914682128805e-5
132,3.8827914682128805e-5
133,1.2942638227376268e-5
134,1.2942638227376268e-5
136,2.5885276454752537e-5
137,1.2942638227376268e-5
138,3.8827914682128805e-5
140,2.5885276454752537e-5
148,6.471319113688134e-5
150,3.8827914682128805e-5
152,5.30648167322427e-4
158,2.5885276454752537e-5
160,1.2942638227376268e-5
167,1.2942638227376268e-5
168,1.2942638227376268e-5
