Sample,word_ID_full,topic,p
1644,1,675-109-25-1-1,0.0123296560674886_0.00487429451000513_0.00239174219536757_5.68062905492271e-05_1.57795120476574e-05
1644,2,332-44-6-4-1,0.00201748486886348_0.000323241030061416_4.05367059872715e-05_1.23061272207432e-05_2.4915019022617e-06
1644,3,622-146-23-1-1,0.00294406280667321_0.00118343195266272_0.000284432083939068_2.69082428917392e-05_7.47450570678511e-06
1644,4,111-70-17-2-1,0.00251889168765743_0.000322754168908015_9.49246930768257e-05_1.69858111857229e-05_2.4915019022617e-06
1644,5,768-142-27-5-1,0.00474137931034483_0.001620029455081_0.000972676629233354_0.000170220667884002_9.13550697495957e-06
1644,6,576-2-2-1-1,0.00126742712294043_0.000527426160337553_0.000203231378924906_5.97960953149759e-06_1.66100126817447e-06
1644,7,576-2-2-1-1,0.00316856780735108_0.00131856540084388_0.000508078447312265_1.4949023828744e-05_4.15250317043617e-06
1644,8,576-2-2-1-1,0.00316856780735108_0.00131856540084388_0.000508078447312265_1.4949023828744e-05_4.15250317043617e-06
1644,9,780-45-17-2-1,0.0118938700823422_0.00316764132553606_0.000411340336666245_7.36051818047991e-05_1.0796508243134e-05
1644,10,384-128-13-2-1,0.00293685756240822_0.000504540867810293_0.00011889899530349_2.26477482476305e-05_3.32200253634894e-06
1644,11,768-142-27-5-1,0.00172413793103448_0.000589101620029455_0.000353700592448492_6.18984246850918e-05_3.32200253634894e-06
1644,12,396-134-21-1-1,0.00998751560549313_0.00162667751118341_0.000264567762418149_2.39184381259904e-05_6.64400507269787e-06
1644,13,780-45-17-2-1,0.00365965233302836_0.000974658869395711_0.000126566257435768_2.26477482476305e-05_3.32200253634894e-06
1644,14,434-139-6-4-1,0.00807381776239908_0.00102594166788803_9.45856473036334e-05_2.87142968484008e-05_5.81350443861064e-06
1644,15,780-45-17-2-1,0.0164684354986276_0.0043859649122807_0.000569548158460954_0.000101914867114337_1.49490114135702e-05
1644,16,434-139-6-4-1,0.00461361014994233_0.0005862523816503_5.4048941316362e-05_1.64081696276576e-05_3.32200253634894e-06
1644,17,549-135-12-1-1,0.00286532951289398_0.0017353579175705_0.000131721934995225_1.19592190629952e-05_3.32200253634894e-06
1644,18,598-95-23-1-1,0.00128040973111396_0.000487983408564109_0.000126414259528475_1.19592190629952e-05_3.32200253634894e-06
1644,19,780-45-17-2-1,0.00457456541628545_0.00121832358674464_0.00015820782179471_2.83096853095381e-05_4.15250317043617e-06
1644,20,396-134-21-1-1,0.00998751560549313_0.00162667751118341_0.000264567762418149_2.39184381259904e-05_6.64400507269787e-06
1644,21,780-45-17-2-1,0.0274473924977127_0.00730994152046784_0.000949246930768257_0.000169858111857229_2.4915019022617e-05
1644,22,730-151-22-5-1,0.041036717062635_0.00623359580052493_0.000483916155158801_0.000294017517254186_1.57795120476574e-05
1644,23,434-139-6-4-1,0.0196078431372549_0.00249157262201378_0.000229708000594538_6.97347209175449e-05_1.4118510779483e-05
1644,24,434-139-6-4-1,0.0069204152249135_0.000879378572475451_8.1073411974543e-05_2.46122544414864e-05_4.9830038045234e-06
1644,25,780-45-17-2-1,0.0237877401646844_0.00633528265107212_0.00082268067333249_0.000147210363609598_2.15930164862681e-05
1644,26,768-142-27-5-1,0.00129310344827586_0.000441826215022091_0.000265275444336369_4.64238185138188e-05_2.4915019022617e-06
1644,27,754-105-12-1-1,0.00572737686139748_0.00104997900041999_0.000164652418744031_1.4949023828744e-05_4.15250317043617e-06
1644,28,754-105-12-1-1,0.00572737686139748_0.00104997900041999_0.000164652418744031_1.4949023828744e-05_4.15250317043617e-06
1644,29,296-114-26-5-1,0.00233426704014939_0.00102228583111838_0.000355871886120996_7.73730308563647e-05_4.15250317043617e-06
1644,30,111-70-17-2-1,0.00167926112510495_0.000215169445938677_6.32831287178838e-05_1.13238741238152e-05_1.66100126817447e-06
1644,31,482-47-18-1-1,0.00224719101123596_0.000230538692077154_4.72880313992529e-05_8.96941429724639e-06_2.4915019022617e-06
1644,32,780-45-17-2-1,0.00823421774931381_0.00219298245614035_0.000284774079230477_5.09574335571686e-05_7.47450570678511e-06
1644,33,776-152-27-5-1,0.00789177001127396_0.00225442834138486_0.000618976036784862_0.000108322243198911_5.81350443861064e-06
1644,35,434-139-6-4-1,0.0242214532871972_0.00307782500366408_0.0002837569419109_8.61428905452025e-05_1.74405133158319e-05
1644,36,434-139-6-4-1,0.00230680507497117_0.00029312619082515_2.7024470658181e-05_8.2040848138288e-06_1.66100126817447e-06
1644,37,780-45-17-2-1,0.00823421774931381_0.00219298245614035_0.000284774079230477_5.09574335571686e-05_7.47450570678511e-06
1644,38,780-45-17-2-1,0.0457456541628545_0.0121832358674464_0.0015820782179471_0.000283096853095381_4.15250317043617e-05
1644,39,434-139-6-4-1,0.0069204152249135_0.000879378572475451_8.1073411974543e-05_2.46122544414864e-05_4.9830038045234e-06
1644,40,780-45-17-2-1,0.0118938700823422_0.00316764132553606_0.000411340336666245_7.36051818047991e-05_1.0796508243134e-05
1644,41,598-95-23-1-1,0.00128040973111396_0.000487983408564109_0.000126414259528475_1.19592190629952e-05_3.32200253634894e-06
1644,42,780-45-17-2-1,0.0228728270814273_0.0060916179337232_0.000791039108973548_0.000141548426547691_2.07625158521809e-05
1644,43,780-45-17-2-1,0.0164684354986276_0.0043859649122807_0.000569548158460954_0.000101914867114337_1.49490114135702e-05
1644,44,780-45-17-2-1,0.00274473924977127_0.000730994152046784_9.49246930768257e-05_1.69858111857229e-05_2.4915019022617e-06
1644,45,64-2-2-1-1,0.222110552763819_0.0582805907172996_0.0224570673712021_0.000660746853230484_0.000183540640133279
1644,46,68-46-1-1-1,0.00218102508178844_0.000865239022279905_7.66503784612436e-05_1.19592190629952e-05_3.32200253634894e-06
1644,47,731-86-24-2-1,0.0036101083032491_0.00106723585912487_0.000313437513992746_3.96335594333533e-05_5.81350443861064e-06
1644,48,397-135-12-1-1,0.0066006600660066_0.00260303687635575_0.000197582902492838_1.79388285944928e-05_4.9830038045234e-06
1644,49,422-24-8-3-1,0.0056772100567721_0.000691085003455425_8.80702549004806e-05_1.82006333820417e-05_5.81350443861064e-06
1644,51,498-17-4-3-1,0.0713703099510604_0.00624375624375624_0.0025299619782857_0.000455015834551042_0.000145337610965266
1644,52,125-23-8-3-1,0.0288915094339623_0.00469393620078552_0.000616491784303364_0.000127404433674292_4.06945310702745e-05
1644,53,622-146-23-1-1,0.00130847235852143_0.000525969756738987_0.000126414259528475_1.19592190629952e-05_3.32200253634894e-06
1644,54,782-146-23-1-1,0.00246305418719212_0.000394477317554241_9.48106946463561e-05_8.96941429724639e-06_2.4915019022617e-06
1644,55,576-2-2-1-1,0.00190114068441065_0.000791139240506329_0.000304847068387359_8.96941429724639e-06_2.4915019022617e-06
1644,56,235-101-20-1-1,0.041343669250646_0.0103492884864166_0.00145777021896924_0.000143510628755942_3.98640304361872e-05
