Sample,word_ID_full,topic,p
1631,1,54-31-6-2-1,0.00922909880564604_0.00157933853586027_0.00017531737601452_3.62578487578488e-05_1.41922837388152e-05
1631,2,20-15-8-1-1,0.000947418285172904_0.000137532664007702_1.3434630446903e-05_3.4875164349212e-06_1.66968043986062e-06
1631,3,205-52-10-2-1,0.00183150183150183_0.000411882819337898_0.000229377526736818_1.70625170625171e-05_6.67872175944246e-06
1631,4,203-28-2-2-1,0.0023121387283237_0.00038454143433955_2.66946070220164e-05_8.53125853125853e-06_3.33936087972123e-06
1631,5,389-57-11-3-1,0.00311804008908686_0.00191048034934498_0.000133163391481348_4.50172351700365e-05_5.84388153951215e-06
1631,6,387-22-6-2-1,0.00140911225927666_0.000237210405629794_3.09383604731507e-05_6.3984438984439e-06_2.50452065979092e-06
1631,7,387-22-6-2-1,0.00140911225927666_0.000237210405629794_3.09383604731507e-05_6.3984438984439e-06_2.50452065979092e-06
1631,8,387-22-6-2-1,0.00187881634570221_0.000316280540839725_4.12511472975342e-05_8.53125853125853e-06_3.33936087972123e-06
1631,9,220-20-6-2-1,0.00946073793755913_0.000738661545279953_0.000103127868243836_2.13281463281463e-05_8.34840219930307e-06
1631,10,212-17-2-2-1,0.00144822592324403_0.000399201596806387_2.66946070220164e-05_8.53125853125853e-06_3.33936087972123e-06
1631,11,389-57-11-3-1,0.00133630289532294_0.000818777292576419_5.70700249205776e-05_1.92931007871585e-05_2.50452065979092e-06
1631,12,340-27-4-2-1,0.00246103363412633_0.000253742704897234_3.43324063583617e-05_1.27968877968878e-05_5.00904131958185e-06
1631,13,220-20-6-2-1,0.00283822138126774_0.000221598463583986_3.09383604731507e-05_6.3984438984439e-06_2.50452065979092e-06
1631,14,378-60-11-3-1,0.00442086648983201_0.00093984962406015_9.51167082009626e-05_3.21551679785975e-05_4.17420109965154e-06
1631,15,220-20-6-2-1,0.0160832544938505_0.00125572462697592_0.00017531737601452_3.62578487578488e-05_1.41922837388152e-05
1631,16,378-60-11-3-1,0.0026525198938992_0.00056390977443609_5.70700249205776e-05_1.92931007871585e-05_2.50452065979092e-06
1631,17,246-33-5-1-1,0.0018348623853211_0.000122970978848992_5.17323883550394e-05_6.9750328698424e-06_3.33936087972123e-06
1631,18,113-52-10-2-1,0.000990589400693413_0.000205941409668949_0.000114688763368409_8.53125853125853e-06_3.33936087972123e-06
1631,19,220-20-6-2-1,0.00378429517502365_0.000295464618111981_4.12511472975342e-05_8.53125853125853e-06_3.33936087972123e-06
1631,20,378-60-11-3-1,0.00618921308576481_0.00131578947368421_0.000133163391481348_4.50172351700365e-05_5.84388153951215e-06
1631,21,220-20-6-2-1,0.0236518448438978_0.00184665386319988_0.000257819670609589_5.33203658203658e-05_2.08710054982577e-05
1631,22,165-22-6-2-1,0.0161971830985915_0.00181861310982842_0.000237194096960822_4.90547365547366e-05_1.92013250583971e-05
1631,23,378-60-11-3-1,0.0106100795755968_0.00225563909774436_0.00022828009968231_7.7172403148634e-05_1.00180826391637e-05
1631,24,212-17-2-2-1,0.00108616944243302_0.00029940119760479_2.00209552665123e-05_6.3984438984439e-06_2.50452065979092e-06
1631,25,220-20-6-2-1,0.0245979186376537_0.00192052001772788_0.000268132457433972_5.54531804531805e-05_2.1705845718188e-05
1631,26,389-57-11-3-1,0.00178173719376392_0.00109170305676856_7.60933665607701e-05_2.5724134382878e-05_3.33936087972123e-06
1631,27,114-14-6-2-1,0.00173010380622837_0.000214281887823432_4.12511472975342e-05_8.53125853125853e-06_3.33936087972123e-06
1631,28,114-14-6-2-1,0.00173010380622837_0.000214281887823432_4.12511472975342e-05_8.53125853125853e-06_3.33936087972123e-06
