Sample,word_ID_full,topic,p
1987,1,454-52-17-1-1-1,0.0117493472584856_0.00105801445953095_0.000490824312164262_4.6927793767989e-05_1.28291843988565e-05_1.28291843988565e-05
1987,2,120-64-14-3-1-1,0.00207986688851913_0.000310616885133876_5.80194481190095e-05_7.01014508196262e-06_3.56366233301569e-06_3.56366233301569e-06
1987,3,238-69-12-3-1-1,0.00184842883548983_0.000356930398572278_9.67034856234151e-05_1.26182611475327e-05_6.41459219942825e-06_6.41459219942825e-06
1987,4,151-49-15-2-1-1,0.00196155355041193_0.000483605764580714_0.000165711066185_1.63275435863776e-05_3.56366233301569e-06_3.56366233301569e-06
1987,5,411-52-17-1-1-1,0.00242718446601942_0.000529007229765473_0.000245412156082131_2.34638968839945e-05_6.41459219942825e-06_6.41459219942825e-06
1987,6,230-80-17-1-1-1,0.0029093931837074_0.000609915483140193_0.000190876121397213_1.82496975764402e-05_4.98912726622197e-06_4.98912726622197e-06
1987,7,230-80-17-1-1-1,0.00207813798836243_0.00043565391652871_0.000136340086712295_1.30354982688858e-05_3.56366233301569e-06_3.56366233301569e-06
1987,8,230-80-17-1-1-1,0.00249376558603491_0.000522784699834452_0.000163608104054754_1.5642597922663e-05_4.27639479961883e-06_4.27639479961883e-06
1987,9,199-57-19-3-1-1,0.00895713371721049_0.00152025192746227_0.000552028705492686_1.96284062294953e-05_9.97825453244394e-06_9.97825453244394e-06
1987,10,399-78-14-3-1-1,0.00159151193633952_0.000171399188710507_3.48116688714057e-05_4.20608704917757e-06_2.13819739980942e-06_2.13819739980942e-06
1987,11,411-52-17-1-1-1,0.00134843581445523_0.000293892905425263_0.000136340086712295_1.30354982688858e-05_3.56366233301569e-06_3.56366233301569e-06
1987,12,125-42-11-3-1-1,0.00348432055749129_0.000455818193657615_5.22142574759628e-05_9.81420311474766e-06_4.98912726622197e-06_4.98912726622197e-06
1987,13,199-57-19-3-1-1,0.00255918106206014_0.000434357693560647_0.000157722487283624_5.60811606557009e-06_2.85092986641255e-06_2.85092986641255e-06
1987,14,439-60-19-3-1-1,0.00554016620498615_0.000707547169811321_0.000236583730925437_8.41217409835514e-06_4.27639479961883e-06_4.27639479961883e-06
1987,15,199-57-19-3-1-1,0.0159948816378759_0.00271473558475404_0.000985765545522653_3.50507254098131e-05_1.78183116650785e-05_1.78183116650785e-05
1987,16,439-60-19-3-1-1,0.00369344413665743_0.000471698113207547_0.000157722487283624_5.60811606557009e-06_2.85092986641255e-06_2.85092986641255e-06
