Sample,word_ID_full,topic,p
778,1,128-29-8-1-1,0.00448095593726662_0.00116144018583043_0.000619131152615829_1.87665967089645e-05_1.87665967089645e-05
778,2,10-3-3-1-1,0.000557258289217052_9.25797342961626e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,4,117-28-2-1-1,0.0016025641025641_0.000278202809848379_3.52249110570996e-05_6.2555322363215e-06_6.2555322363215e-06
778,5,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,6,105-26-3-1-1,0.00195694716242661_0.000165901675606924_2.7473533829078e-05_9.38329835448224e-06_9.38329835448224e-06
778,8,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,10,41-23-2-1-1,0.000851063829787234_0.000113468739362306_1.76124555285498e-05_3.12776611816075e-06_3.12776611816075e-06
778,12,82-22-2-1-1,0.00193298969072165_0.000310269934843314_5.28373665856494e-05_9.38329835448224e-06_9.38329835448224e-06
778,14,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,16,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,20,90-28-2-1-1,0.00230680507497117_0.000556405619696759_7.04498221141992e-05_1.2511064472643e-05_1.2511064472643e-05
778,21,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,22,8-6-2-1-1,0.005380476556495_0.00111624940200925_0.000123287188699849_2.18943628271252e-05_2.18943628271252e-05
778,23,4-4-2-1-1,0.00236406619385343_0.000533191149026926_7.04498221141992e-05_1.2511064472643e-05_1.2511064472643e-05
778,24,41-23-2-1-1,0.000851063829787234_0.000113468739362306_1.76124555285498e-05_3.12776611816075e-06_3.12776611816075e-06
778,26,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,29,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,30,117-28-2-1-1,0.000801282051282051_0.00013910140492419_1.76124555285498e-05_3.12776611816075e-06_3.12776611816075e-06
778,31,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,33,41-23-2-1-1,0.0025531914893617_0.000340406218086917_5.28373665856494e-05_9.38329835448224e-06_9.38329835448224e-06
778,35,4-4-2-1-1,0.00236406619385343_0.000533191149026926_7.04498221141992e-05_1.2511064472643e-05_1.2511064472643e-05
778,36,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,38,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,39,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,42,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,45,83-23-2-1-1,0.0500725689404935_0.00782934301599909_0.00121525943146994_0.000215815862153092_0.000215815862153092
778,46,106-6-2-1-1,0.00195694716242661_0.000318928400574071_3.52249110570996e-05_6.2555322363215e-06_6.2555322363215e-06
778,47,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,49,15-12-2-1-1,0.0050761421319797_0.00192529842125529_8.80622776427489e-05_1.56388305908037e-05_1.56388305908037e-05
778,51,118-25-4-1-1,0.0472377902321858_0.01034180543383_0.00367486764247898_0.000184538200971484_0.000184538200971484
778,52,4-4-2-1-1,0.0100472813238771_0.00226606238336444_0.000299411743985346_5.31720240087327e-05_5.31720240087327e-05
778,56,67-17-8-1-1,0.0056617126680821_0.00176795580110497_0.000825508203487772_2.5022128945286e-05_2.5022128945286e-05
778,57,83-23-2-1-1,0.0145137880986938_0.00226937478724611_0.000352249110570996_6.2555322363215e-05_6.2555322363215e-05
778,58,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,59,30-3-3-1-1,0.00664977834072198_0.000972087210109707_0.000192314736803546_6.56830884813757e-05_6.56830884813757e-05
778,60,43-3-3-1-1,0.0038529934795495_0.000601768272925057_0.000119051979926005_4.06609595360897e-05_4.06609595360897e-05
778,61,130-13-6-1-1,0.0117279124315872_0.0022238695329874_0.000644080896560608_4.69164917724112e-05_4.69164917724112e-05
778,62,130-13-6-1-1,0.0187646598905395_0.00355819125277984_0.00103052943449697_7.5066386835858e-05_7.5066386835858e-05
778,63,30-3-3-1-1,0.00411652944901837_0.000601768272925057_0.000119051979926005_4.06609595360897e-05_4.06609595360897e-05
778,65,30-3-3-1-1,0.00759974667511083_0.00111095681155395_0.000219788270632624_7.5066386835858e-05_7.5066386835858e-05
778,66,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,67,30-3-3-1-1,0.00284990500316656_0.000416608804332732_8.2420601487234e-05_2.81498950634467e-05_2.81498950634467e-05
778,68,30-3-3-1-1,0.00506649778340722_0.000740637874369301_0.000146525513755083_5.0044257890572e-05_5.0044257890572e-05
778,69,30-3-3-1-1,0.00633312222925903_0.000925797342961626_0.000183156892193853_6.2555322363215e-05_6.2555322363215e-05
778,70,130-13-6-1-1,0.00781860828772478_0.00148257968865827_0.000429387264373739_3.12776611816075e-05_3.12776611816075e-05
778,71,30-3-3-1-1,0.00379987333755541_0.000555478405776975_0.000109894135316312_3.7533193417929e-05_3.7533193417929e-05
778,72,63-11-3-1-1,0.20893755548979_0.0255797101449275_0.00646543829444302_0.00220820287942149_0.00220820287942149
778,73,90-28-2-1-1,0.00288350634371396_0.000695507024620949_8.80622776427489e-05_1.56388305908037e-05_1.56388305908037e-05
778,74,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,75,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,76,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,77,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,78,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,80,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,82,93-10-2-1-1,0.00211118930330753_0.000552791597567717_5.28373665856494e-05_9.38329835448224e-06_9.38329835448224e-06
778,83,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,84,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,85,117-28-2-1-1,0.000801282051282051_0.00013910140492419_1.76124555285498e-05_3.12776611816075e-06_3.12776611816075e-06
778,86,96-1-1-1-1,0.0103875349580503_0.00092175701067111_0.00092175701067111_8.13219190721795e-05_8.13219190721795e-05
778,87,82-22-2-1-1,0.00322164948453608_0.000517116558072189_8.80622776427489e-05_1.56388305908037e-05_1.56388305908037e-05
778,88,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,89,10-3-3-1-1,0.000278629144608526_4.62898671480813e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,90,98-21-2-1-1,0.00539291217257319_0.00164667137144201_0.000123287188699849_2.18943628271252e-05_2.18943628271252e-05
778,91,38-8-5-1-1,0.00122549019607843_0.000223015165031222_6.1055030934549e-05_9.38329835448224e-06_9.38329835448224e-06
778,93,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,94,130-13-6-1-1,0.00234558248631744_0.00044477390659748_0.000128816179312122_9.38329835448224e-06_9.38329835448224e-06
778,95,10-3-3-1-1,0.000835887433825578_0.000138869601444244_2.7473533829078e-05_9.38329835448224e-06_9.38329835448224e-06
778,96,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,97,117-28-2-1-1,0.00320512820512821_0.000556405619696759_7.04498221141992e-05_1.2511064472643e-05_1.2511064472643e-05
778,98,51-9-3-1-1,0.105130554283097_0.0109520400858984_0.00420345067584893_0.00143564464823578_0.00143564464823578
778,99,45-11-3-1-1,0.00179579271421242_0.000253623188405797_6.41049122678486e-05_2.18943628271252e-05_2.18943628271252e-05
778,102,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,103,64-9-3-1-1,0.000397930760047752_4.77213075638273e-05_1.83156892193853e-05_6.2555322363215e-06_6.2555322363215e-06
778,104,64-9-3-1-1,0.000198965380023876_2.38606537819136e-05_9.15784460969266e-06_3.12776611816075e-06_3.12776611816075e-06
778,105,83-23-2-1-1,0.00217706821480406_0.000340406218086917_5.28373665856494e-05_9.38329835448224e-06_9.38329835448224e-06
778,106,7-7-5-1-1,0.0122010398613518_0.0122010398613518_0.00358189514816021_0.000550486836796292_0.000550486836796292
778,107,83-23-2-1-1,0.00217706821480406_0.000340406218086917_5.28373665856494e-05_9.38329835448224e-06_9.38329835448224e-06
778,108,40-1-1-1-1,0.014149274849664_0.00141808770872478_0.00141808770872478_0.00012511064472643_0.00012511064472643
