Sample,word_ID_full,topic
0,1,4-1-1
0,11,9-3-1
0,12,2-1-1
0,14,2-1-1
0,16,2-1-1
0,22,7-3-1
0,23,2-1-1
0,26,9-3-1
0,35,2-1-1
0,45,9-3-1
0,51,7-3-1
0,52,2-1-1
0,56,4-1-1
0,57,4-1-1
0,59,7-3-1
0,60,9-3-1
0,61,9-3-1
0,62,9-3-1
0,63,7-3-1
0,67,7-3-1
0,69,4-1-1
0,70,9-3-1
0,71,9-3-1
0,72,4-1-1
0,73,9-3-1
0,75,4-1-1
0,81,4-1-1
0,86,3-3-1
0,94,9-3-1
0,98,1-1-1
0,106,1-1-1
0,107,4-1-1
0,108,1-1-1
0,115,4-1-1
0,116,9-3-1
0,118,9-3-1
0,119,5-2-1
0,120,9-3-1
0,131,3-3-1
0,133,9-3-1
0,138,7-3-1
0,148,1-1-1
0,150,9-3-1
0,151,4-1-1
0,152,3-3-1
0,156,4-1-1
0,160,3-3-1
0,169,3-3-1
0,170,4-1-1
0,173,9-3-1
0,174,2-1-1
0,175,1-1-1
0,178,4-1-1
0,185,4-1-1
0,187,9-3-1
0,191,4-1-1
0,195,4-1-1
0,197,4-1-1
0,201,3-3-1
0,202,1-1-1
0,203,3-3-1
0,204,9-3-1
0,205,4-1-1
0,208,3-3-1
0,209,2-1-1
0,211,4-1-1
0,221,3-3-1
0,222,1-1-1
0,224,4-1-1
0,225,4-1-1
0,227,4-1-1
0,234,3-3-1
0,240,4-1-1
0,242,9-3-1
0,244,9-3-1
0,245,1-1-1
0,247,4-1-1
0,250,3-3-1
0,253,4-1-1
0,255,3-3-1
0,256,2-1-1
0,257,4-1-1
0,259,9-3-1
0,262,4-1-1
0,264,3-3-1
0,265,4-1-1
0,267,3-3-1
0,268,9-3-1
0,271,9-3-1
0,275,4-1-1
0,276,4-1-1
0,277,4-1-1
0,280,3-3-1
0,282,3-3-1
0,288,4-1-1
0,296,9-3-1
0,301,4-1-1
0,306,4-1-1
0,307,4-1-1
0,313,2-1-1
0,321,2-1-1
0,339,9-3-1
0,344,1-1-1
0,346,4-1-1
0,350,7-3-1
0,358,4-1-1
0,364,9-3-1
0,369,4-1-1
0,371,3-3-1
0,375,4-1-1
0,378,5-2-1
0,379,2-1-1
0,380,4-1-1
0,383,4-1-1
0,393,1-1-1
0,394,7-3-1
0,396,1-1-1
0,398,3-3-1
0,407,2-1-1
0,408,9-3-1
0,416,4-1-1
0,417,3-3-1
0,418,4-1-1
0,419,4-1-1
0,421,7-3-1
0,422,7-3-1
0,423,4-1-1
0,424,1-1-1
0,425,3-3-1
0,426,9-3-1
0,427,4-1-1
0,429,3-3-1
0,434,9-3-1
0,447,4-1-1
0,459,7-3-1
0,461,4-1-1
0,462,4-1-1
0,465,4-1-1
0,468,9-3-1
0,469,5-2-1
0,470,4-1-1
0,474,2-1-1
0,477,1-1-1
0,484,3-3-1
0,486,1-1-1
0,488,3-3-1
0,489,3-3-1
0,499,3-3-1
0,504,9-3-1
0,505,7-3-1
0,509,9-3-1
0,511,4-1-1
0,512,9-3-1
0,513,3-3-1
0,523,4-1-1
0,524,4-1-1
0,526,2-1-1
0,529,9-3-1
0,531,9-3-1
0,540,3-3-1
0,543,9-3-1
0,544,1-1-1
0,548,4-1-1
0,555,3-3-1
0,557,1-1-1
0,561,4-1-1
0,565,4-1-1
0,566,1-1-1
0,569,4-1-1
0,571,3-3-1
0,572,4-1-1
0,573,1-1-1
0,574,4-1-1
0,579,4-1-1
0,587,7-3-1
0,589,4-1-1
0,590,4-1-1
0,593,9-3-1
0,597,9-3-1
0,607,4-1-1
0,610,4-1-1
0,613,1-1-1
0,618,4-1-1
0,625,4-1-1
0,629,1-1-1
0,630,4-1-1
0,631,1-1-1
0,633,4-1-1
0,638,3-3-1
0,649,3-3-1
0,650,1-1-1
0,651,4-1-1
0,653,7-3-1
0,654,4-1-1
0,655,3-3-1
0,656,3-3-1
0,657,4-1-1
0,667,2-1-1
0,669,1-1-1
