Sample,word_ID_full,topic
423,1,11-3-1
423,8,5-3-1
423,12,5-3-1
423,18,10-3-1
423,32,4-3-1
423,38,4-3-1
423,41,10-3-1
423,45,6-3-1
423,46,5-3-1
423,49,5-3-1
423,51,7-2-1
423,52,13-2-1
423,54,10-3-1
423,56,8-3-1
423,57,8-3-1
423,59,13-2-1
423,60,13-2-1
423,61,13-2-1
423,62,13-2-1
423,63,14-3-1
423,65,10-3-1
423,66,11-3-1
423,67,13-2-1
423,68,13-2-1
423,69,6-3-1
423,70,13-2-1
423,71,13-2-1
423,72,1-1-1
423,73,11-3-1
423,76,5-3-1
423,77,5-3-1
423,78,5-3-1
423,80,5-3-1
423,81,5-3-1
423,83,5-3-1
423,85,11-3-1
423,86,3-1-1
423,87,8-3-1
423,88,5-3-1
423,89,11-3-1
423,90,5-3-1
423,98,1-1-1
423,99,11-3-1
423,106,3-1-1
423,107,5-3-1
423,108,3-1-1
423,113,5-3-1
423,114,11-3-1
423,115,5-3-1
423,118,5-3-1
423,119,12-2-1
423,120,8-3-1
423,121,11-3-1
423,123,4-3-1
423,125,5-3-1
423,127,5-3-1
423,128,13-2-1
423,130,6-3-1
423,131,8-3-1
423,136,2-2-1
423,138,3-1-1
423,139,8-3-1
423,140,5-3-1
423,143,5-3-1
423,144,5-3-1
423,147,5-3-1
423,148,8-3-1
423,149,5-3-1
423,150,8-3-1
423,152,10-3-1
423,153,5-3-1
423,156,5-3-1
423,157,5-3-1
423,160,11-3-1
423,161,5-3-1
423,168,5-3-1
423,169,8-3-1
423,170,6-3-1
423,172,5-3-1
423,173,1-1-1
423,174,11-3-1
423,175,1-1-1
423,177,5-3-1
423,178,6-3-1
423,179,5-3-1
423,181,5-3-1
423,183,11-3-1
423,184,6-3-1
423,188,4-3-1
423,189,13-2-1
423,191,8-3-1
423,195,11-3-1
423,196,5-3-1
423,199,5-3-1
423,201,8-3-1
423,202,9-2-1
423,203,3-1-1
423,204,12-2-1
423,205,11-3-1
423,206,5-3-1
423,208,8-3-1
423,209,10-3-1
423,211,8-3-1
423,214,4-3-1
423,215,11-3-1
423,217,5-3-1
423,218,8-3-1
423,219,5-3-1
423,220,5-3-1
423,221,10-3-1
423,222,1-1-1
423,224,14-3-1
423,225,14-3-1
423,228,5-3-1
423,229,5-3-1
423,230,5-3-1
423,232,8-3-1
423,234,8-3-1
423,242,5-3-1
423,244,10-3-1
423,245,9-2-1
423,246,14-3-1
423,247,5-3-1
423,248,8-3-1
423,250,5-3-1
423,251,11-3-1
423,255,1-1-1
423,256,3-1-1
423,257,5-3-1
423,259,14-3-1
423,263,8-3-1
423,264,8-3-1
423,265,1-1-1
423,267,14-3-1
423,268,12-2-1
423,269,5-3-1
423,271,12-2-1
423,272,11-3-1
423,274,11-3-1
423,276,5-3-1
423,280,6-3-1
423,282,13-2-1
423,283,11-3-1
423,284,5-3-1
423,288,5-3-1
423,290,11-3-1
423,294,4-3-1
423,295,14-3-1
423,300,11-3-1
423,301,11-3-1
423,305,11-3-1
423,306,5-3-1
423,311,11-3-1
423,312,11-3-1
423,317,11-3-1
423,321,5-3-1
423,325,5-3-1
423,328,11-3-1
423,329,11-3-1
423,332,11-3-1
423,334,11-3-1
423,344,8-3-1
423,346,13-2-1
423,348,6-3-1
423,350,6-3-1
423,356,4-3-1
423,358,5-3-1
423,359,5-3-1
423,361,6-3-1
423,362,8-3-1
423,363,5-3-1
423,364,5-3-1
423,369,5-3-1
423,370,4-3-1
423,371,3-1-1
423,376,5-3-1
423,378,12-2-1
423,380,1-1-1
423,382,5-3-1
423,387,3-1-1
423,389,5-3-1
423,393,1-1-1
423,394,5-3-1
423,396,6-3-1
423,397,5-3-1
423,398,3-1-1
423,400,6-3-1
423,402,11-3-1
423,404,5-3-1
423,405,5-3-1
423,406,4-3-1
423,407,6-3-1
423,408,14-3-1
423,409,13-2-1
423,410,5-3-1
423,413,5-3-1
423,414,5-3-1
423,415,8-3-1
423,416,14-3-1
423,417,4-3-1
423,419,11-3-1
423,420,11-3-1
423,421,5-3-1
423,422,3-1-1
423,423,1-1-1
423,424,3-1-1
423,425,10-3-1
423,428,14-3-1
423,429,10-3-1
423,434,1-1-1
423,436,5-3-1
423,441,5-3-1
423,444,14-3-1
423,446,5-3-1
423,447,11-3-1
423,459,14-3-1
423,466,14-3-1
423,469,12-2-1
423,470,1-1-1
423,474,14-3-1
423,476,5-3-1
423,477,1-1-1
423,478,8-3-1
423,482,5-3-1
423,484,8-3-1
423,486,10-3-1
423,487,5-3-1
423,488,5-3-1
423,490,10-3-1
423,491,10-3-1
423,492,4-3-1
423,493,10-3-1
423,495,10-3-1
423,497,10-3-1
423,498,10-3-1
423,499,10-3-1
423,500,10-3-1
423,501,4-3-1
423,502,10-3-1
423,503,10-3-1
423,505,1-1-1
423,507,5-3-1
423,509,12-2-1
423,511,5-3-1
423,512,1-1-1
423,513,9-2-1
423,514,5-3-1
423,518,13-2-1
423,521,11-3-1
423,522,5-3-1
423,523,4-3-1
423,526,10-3-1
423,529,9-2-1
423,531,1-1-1
423,533,5-3-1
423,539,5-3-1
423,540,5-3-1
423,543,10-3-1
423,544,3-1-1
423,545,11-3-1
423,552,5-3-1
423,555,1-1-1
423,557,1-1-1
423,558,5-3-1
423,559,11-3-1
423,565,6-3-1
423,566,1-1-1
423,567,8-3-1
423,571,3-1-1
423,573,2-2-1
423,579,11-3-1
423,580,1-1-1
423,584,10-3-1
423,587,11-3-1
423,588,6-3-1
423,589,6-3-1
423,591,6-3-1
423,592,13-2-1
423,596,6-3-1
423,597,13-2-1
423,613,3-1-1
423,615,10-3-1
423,616,5-3-1
423,617,6-3-1
423,618,1-1-1
