Sample,word_ID_full,topic
0,1,111-27-2-1
0,2,67-8-3-1
0,3,32-9-3-1
0,4,73-14-4-1
0,5,152-22-2-1
0,6,25-18-4-1
0,7,25-18-4-1
0,8,25-18-4-1
0,9,20-14-4-1
0,10,15-31-4-1
0,11,152-22-2-1
0,12,31-21-3-1
0,13,144-15-4-1
0,14,63-22-2-1
0,15,144-15-4-1
0,16,63-22-2-1
0,17,46-9-3-1
0,18,160-15-4-1
0,19,144-15-4-1
0,20,29-9-3-1
0,21,144-15-4-1
0,22,25-18-4-1
0,23,63-22-2-1
0,24,18-12-3-1
0,25,144-15-4-1
0,26,152-22-2-1
0,27,46-9-3-1
0,28,46-9-3-1
0,29,151-28-3-1
0,30,73-14-4-1
0,31,157-7-3-1
0,32,144-15-4-1
0,33,73-14-4-1
0,34,100-2-2-1
0,35,63-22-2-1
0,36,63-22-2-1
0,37,144-15-4-1
0,38,144-15-4-1
0,39,63-22-2-1
0,40,144-15-4-1
0,41,160-15-4-1
0,42,144-15-4-1
0,43,144-15-4-1
0,44,20-14-4-1
0,45,62-21-3-1
0,46,129-24-2-1
0,47,155-22-2-1
0,48,64-17-2-1
0,49,46-9-3-1
0,50,125-7-3-1
0,51,129-24-2-1
0,52,20-14-4-1
0,53,160-15-4-1
0,54,160-15-4-1
0,55,26-19-4-1
0,56,138-23-3-1
0,57,144-15-4-1
0,58,80-5-2-1
0,59,30-22-2-1
0,60,30-22-2-1
0,61,152-22-2-1
0,62,30-22-2-1
0,63,30-22-2-1
0,64,63-22-2-1
0,65,30-22-2-1
0,66,112-29-2-1
0,67,30-22-2-1
0,68,30-22-2-1
0,69,30-22-2-1
0,70,152-22-2-1
0,71,30-22-2-1
0,72,146-8-3-1
0,73,28-21-3-1
0,74,8-6-3-1
0,75,60-27-2-1
0,76,43-23-3-1
0,77,109-8-3-1
0,78,79-26-3-1
0,79,141-20-3-1
0,80,123-3-1-1
0,81,115-20-3-1
0,82,151-28-3-1
0,83,129-24-2-1
0,84,115-20-3-1
0,85,21-15-4-1
0,86,35-10-3-1
0,87,88-28-3-1
0,88,123-3-1-1
0,89,125-7-3-1
0,90,92-28-3-1
0,91,123-3-1-1
0,92,151-28-3-1
0,93,123-3-1-1
0,94,152-22-2-1
0,95,115-20-3-1
0,96,68-18-4-1
0,97,87-20-3-1
0,98,103-20-3-1
0,99,22-16-3-1
0,100,81-28-3-1
0,101,129-24-2-1
0,102,151-28-3-1
0,103,144-15-4-1
0,104,45-21-3-1
0,105,144-15-4-1
0,106,52-16-3-1
0,107,31-21-3-1
0,108,109-8-3-1
0,109,43-23-3-1
