Sample,word_ID_full,topic
257,10,3-1
257,36,3-1
257,39,3-1
257,44,3-1
257,51,3-1
257,52,3-1
257,57,4-1
257,59,3-1
257,60,4-1
257,68,2-1
257,72,1-1
257,79,2-1
257,86,2-1
257,90,2-1
257,98,1-1
257,106,3-1
257,108,1-1
257,111,3-1
257,118,2-1
257,119,4-1
257,121,5-1
257,131,3-1
257,138,3-1
257,140,3-1
257,148,4-1
257,152,2-1
257,154,3-1
257,157,2-1
257,173,3-1
257,175,1-1
257,178,2-1
257,202,3-1
257,203,2-1
257,204,3-1
257,209,2-1
257,222,2-1
257,224,3-1
257,225,3-1
257,241,3-1
257,245,2-1
257,246,3-1
257,255,2-1
257,256,3-1
257,260,3-1
257,265,1-1
257,282,1-1
257,283,3-1
257,301,2-1
257,307,5-1
257,310,5-1
257,319,5-1
257,323,5-1
257,331,5-1
257,334,3-1
257,335,5-1
257,338,3-1
257,346,3-1
257,369,4-1
257,371,3-1
257,376,3-1
257,378,4-1
257,380,1-1
257,383,2-1
257,393,1-1
257,394,2-1
257,401,3-1
257,406,3-1
257,408,3-1
257,416,3-1
257,417,3-1
257,422,2-1
257,423,1-1
257,424,1-1
257,425,1-1
257,429,1-1
257,434,3-1
257,435,3-1
257,459,3-1
257,462,2-1
257,469,4-1
257,470,2-1
257,477,2-1
257,484,2-1
257,486,2-1
257,499,3-1
257,505,5-1
257,512,3-1
257,513,1-1
257,526,3-1
257,529,1-1
257,531,2-1
257,541,3-1
257,543,1-1
257,544,3-1
257,557,1-1
257,566,2-1
257,569,3-1
257,570,2-1
257,571,1-1
257,573,3-1
257,577,2-1
257,579,1-1
257,581,3-1
257,607,2-1
257,613,1-1
257,615,4-1
257,618,1-1
257,629,1-1
257,631,3-1
257,636,4-1
257,646,3-1
257,649,4-1
257,650,2-1
257,651,3-1
257,653,3-1
257,657,3-1
257,669,3-1
257,677,3-1
257,708,2-1
257,715,4-1
257,717,1-1
257,722,1-1
257,732,1-1
257,736,3-1
257,741,3-1
257,756,2-1
257,763,3-1
257,764,3-1
257,768,5-1
257,771,3-1
257,773,2-1
257,774,2-1
257,776,3-1
257,783,3-1
257,796,5-1
257,798,3-1
257,804,2-1
257,808,2-1
257,813,4-1
257,821,2-1
257,823,1-1
257,829,2-1
257,841,5-1
257,859,2-1
257,868,2-1
257,875,3-1
257,877,4-1
257,878,4-1
257,879,4-1
257,880,2-1
257,881,3-1
257,886,3-1
257,887,3-1
257,893,4-1
257,895,2-1
257,898,1-1
257,906,2-1
257,908,3-1
257,917,4-1
257,932,3-1
257,946,4-1
257,949,3-1
257,952,4-1
257,969,3-1
257,973,3-1
257,980,3-1
257,982,2-1
257,992,3-1
257,995,4-1
257,996,4-1
257,1004,4-1
257,1007,4-1
257,1014,1-1
257,1015,3-1
257,1050,4-1
257,1052,1-1
257,1057,1-1
257,1074,3-1
257,1082,2-1
257,1084,4-1
257,1092,2-1
257,1113,2-1
257,1123,3-1
257,1131,3-1
257,1135,1-1
257,1139,3-1
257,1140,1-1
257,1141,1-1
257,1143,3-1
257,1146,2-1
257,1150,3-1
257,1153,3-1
257,1154,3-1
257,1155,2-1
257,1160,3-1
257,1169,3-1
257,1171,1-1
257,1172,3-1
257,1174,3-1
257,1175,1-1
257,1176,3-1
257,1177,1-1
257,1180,1-1
257,1185,2-1
257,1191,5-1
257,1192,1-1
257,1200,5-1
257,1204,1-1
257,1206,3-1
257,1210,2-1
257,1213,2-1
257,1216,5-1
257,1217,3-1
257,1218,1-1
257,1219,5-1
257,1227,2-1
257,1246,3-1
257,1253,3-1
257,1255,1-1
257,1256,3-1
257,1260,2-1
257,1262,2-1
257,1263,2-1
257,1264,3-1
257,1267,3-1
257,1272,3-1
257,1273,1-1
257,1279,3-1
257,1283,4-1
257,1294,2-1
257,1295,5-1
257,1298,4-1
257,1300,3-1
257,1303,2-1
257,1304,2-1
257,1307,2-1
257,1309,2-1
257,1313,1-1
257,1325,3-1
257,1328,3-1
257,1329,5-1
257,1334,3-1
257,1356,2-1
257,1360,1-1
257,1361,3-1
257,1362,2-1
257,1365,2-1
257,1366,2-1
257,1368,3-1
257,1369,2-1
