Sample,word_ID_full,topic,p
1814,1,687-126-30-2-1,0.0181818181818182_0.00265588914549654_0.00103222331927116_3.25994673530508e-05_1.62877867801241e-05
1814,2,647-123-12-2-1,0.00362056480811007_0.000628298567479266_0.000105824585167626_7.08684072892409e-06_3.54082321307045e-06
1814,3,817-111-25-2-1,0.0027196083763938_0.000490966221523959_0.000249258456093123_1.41736814578482e-05_7.08164642614091e-06
1814,4,770-136-15-2-1,0.00829187396351575_0.00178126113288208_0.0002710027100271_7.08684072892409e-06_3.54082321307045e-06
1814,5,805-53-24-3-1,0.00446609825416159_0.000280583613916947_0.000176783504491908_8.05412371134021e-05_7.789811068755e-06
1814,6,431-91-18-2-1,0.00597269624573379_0.00209455415918612_0.000712323191207897_9.92157702049373e-06_4.95715249829863e-06
1814,7,119-70-9-2-1,0.00305623471882641_0.000897504936277149_0.000124756724387444_7.08684072892409e-06_3.54082321307045e-06
1814,8,119-70-9-2-1,0.00427872860635697_0.00125650691078801_0.000174659414142422_9.92157702049373e-06_4.95715249829863e-06
1814,9,705-132-16-2-1,0.0109409190371991_0.00239234449760766_0.000384852216748768_2.12605221867723e-05_1.06224696392114e-05
1814,10,636-118-27-2-1,0.00471698113207547_0.000863930885529158_0.000176170062833989_8.50420887470891e-06_4.24898785568454e-06
1814,11,805-53-24-3-1,0.00162403572878603_0.000102030405060708_6.42849107243302e-05_2.92877225866917e-05_2.83265857045636e-06
1814,12,127-73-21-2-1,0.00899100899100899_0.000743678730788299_0.000206067544361763_1.27563133120634e-05_6.37348178352682e-06
1814,13,705-132-16-2-1,0.00364697301239971_0.000797448165869219_0.000128284072249589_7.08684072892409e-06_3.54082321307045e-06
1814,14,811-136-15-2-1,0.0191846522781775_0.00285001781261133_0.00043360433604336_1.13389451662785e-05_5.66531714091273e-06
1814,15,705-132-16-2-1,0.0189642596644785_0.00414673046251994_0.000667077175697865_3.68515717904053e-05_1.84122807079664e-05
1814,16,142-78-28-2-1,0.00380589914367269_0.000357685773048377_8.01458654751648e-05_5.66947258313927e-06_2.83265857045636e-06
1814,17,309-128-28-2-1,0.00209117524048515_0.00045687134502924_0.000100182331843956_7.08684072892409e-06_3.54082321307045e-06
1814,18,697-111-25-2-1,0.00147094876195146_0.000294579732914376_0.000149555073655874_8.50420887470891e-06_4.24898785568454e-06
1814,19,705-132-16-2-1,0.00437636761487965_0.000956937799043062_0.000153940886699507_8.50420887470891e-06_4.24898785568454e-06
1814,20,678-136-15-2-1,0.0146103896103896_0.00320627003918774_0.00048780487804878_1.27563133120634e-05_6.37348178352682e-06
1814,21,705-132-16-2-1,0.0284463894967177_0.0062200956937799_0.0010006157635468_5.52773576856079e-05_2.76184210619495e-05
1814,22,180-91-18-2-1,0.0387453874538745_0.00628366247755835_0.00213696957362369_2.97647310614812e-05_1.48714574948959e-05
1814,23,811-136-15-2-1,0.0479616306954436_0.00712504453152832_0.0010840108401084_2.83473629156964e-05_1.41632928522818e-05
1814,24,636-118-27-2-1,0.00393081761006289_0.000719942404607631_0.000146808385694991_7.08684072892409e-06_3.54082321307045e-06
1814,25,705-132-16-2-1,0.0240700218818381_0.00526315789473684_0.000846674876847291_4.6773148810899e-05_2.3369433206265e-05
1814,26,805-53-24-3-1,0.00203004466098254_0.000127538006325885_8.03561384054128e-05_3.66096532333646e-05_3.54082321307045e-06
1814,27,535-23-14-2-1,0.00461254612546125_0.000548847420417124_0.00018806183473126_7.08684072892409e-06_3.54082321307045e-06
1814,28,535-23-14-2-1,0.00461254612546125_0.000548847420417124_0.00018806183473126_7.08684072892409e-06_3.54082321307045e-06
1814,29,743-102-6-1-1,0.0032071840923669_0.000503829101168884_7.0008401008121e-05_8.77205294109391e-06_3.54082321307045e-06
1814,30,770-136-15-2-1,0.00497512437810945_0.00106875667972925_0.00016260162601626_4.25210443735445e-06_2.12449392784227e-06
1814,31,626-146-19-2-1,0.00454029511918275_0.00133600534402138_0.00025888292019934_5.66947258313927e-06_2.83265857045636e-06
1814,32,705-132-16-2-1,0.0087527352297593_0.00191387559808612_0.000307881773399015_1.70084177494178e-05_8.49797571136909e-06
1814,33,636-118-27-2-1,0.00550314465408805_0.00100791936645068_0.000205531739972987_9.92157702049373e-06_4.95715249829863e-06
1814,35,811-136-15-2-1,0.0551558752997602_0.00819380121125757_0.00124661246612466_3.25994673530508e-05_1.62877867801241e-05
1814,36,705-132-16-2-1,0.00218818380743982_0.000478468899521531_7.69704433497537e-05_4.25210443735445e-06_2.12449392784227e-06
1814,37,705-132-16-2-1,0.00729394602479942_0.00159489633173844_0.000256568144499179_1.41736814578482e-05_7.08164642614091e-06
1814,38,705-132-16-2-1,0.0488694383661561_0.0106858054226475_0.0017190065681445_9.49636657675828e-05_4.74470310551441e-05
1814,39,705-132-16-2-1,0.00583515681983953_0.00127591706539075_0.000205254515599343_1.13389451662785e-05_5.66531714091273e-06
1814,40,705-132-16-2-1,0.0109409190371991_0.00239234449760766_0.000384852216748768_2.12605221867723e-05_1.06224696392114e-05
1814,41,697-111-25-2-1,0.00147094876195146_0.000294579732914376_0.000149555073655874_8.50420887470891e-06_4.24898785568454e-06
1814,42,705-132-16-2-1,0.024799416484318_0.00542264752791069_0.000872331691297209_4.81905169566838e-05_2.40775978488791e-05
1814,43,705-132-16-2-1,0.0196936542669584_0.00430622009569378_0.000692733990147783_3.82689399361901e-05_1.91204453505804e-05
1814,44,705-132-16-2-1,0.00364697301239971_0.000797448165869219_0.000128284072249589_7.08684072892409e-06_3.54082321307045e-06
1814,45,712-106-8-2-1,0.254528122020972_0.0674583122789287_0.00947177977225159_0.000378437294924546_0.000189079959577962
1814,46,766-100-29-2-1,0.0163690476190476_0.00411138105027098_0.000828406823059834_3.1182099207266e-05_1.557962213751e-05
1814,47,706-126-30-2-1,0.00680272108843537_0.000808314087759815_0.00031415492325644_9.92157702049373e-06_4.95715249829863e-06
1814,48,706-126-30-2-1,0.00680272108843537_0.000808314087759815_0.00031415492325644_9.92157702049373e-06_4.95715249829863e-06
1814,49,678-136-15-2-1,0.0211038961038961_0.00463127894549341_0.000704607046070461_1.84257858952026e-05_9.20614035398318e-06
1814,51,201-100-29-2-1,0.253405994550409_0.0347598579704728_0.00700380314041496_0.000263630475115976_0.000131718623526221
1814,52,517-118-27-2-1,0.0670157068062827_0.00921526277897768_0.00187914733689588_9.07115613302284e-05_4.53225371273018e-05
1814,53,817-111-25-2-1,0.0013598041881969_0.00024548311076198_0.000124629228046561_7.08684072892409e-06_3.54082321307045e-06
1814,54,697-111-25-2-1,0.00147094876195146_0.000294579732914376_0.000149555073655874_8.50420887470891e-06_4.24898785568454e-06
1814,55,124-66-6-1-1,0.00137315482320632_0.000488997555012225_5.60067208064968e-05_7.01764235287513e-06_2.83265857045636e-06
1814,56,391-138-17-2-1,0.0561370123691722_0.0105526739402611_0.00181868623038747_8.36247206013043e-05_4.17817139142313e-05
1814,57,583-100-29-2-1,0.0747581354441513_0.0158848813305924_0.00320066272545845_0.00012047629239171_6.01939946221977e-05
1814,58,434-83-16-2-1,0.00120675784392599_0.000312337324310255_7.69704433497537e-05_4.25210443735445e-06_2.12449392784227e-06
1814,59,642-86-12-2-1,0.0807017543859649_0.0216409484380881_0.0024339654588554_0.000162997336765254_8.14389339006204e-05
1814,60,662-86-12-2-1,0.0716029292107404_0.0165600301091457_0.00186251269895022_0.000124728396829064_6.231848855004e-05
1814,61,805-53-24-3-1,0.0186764108810394_0.00117334965819814_0.000739276473329798_0.000336808809746954_3.25755735602482e-05
1814,62,662-86-12-2-1,0.121236777868186_0.0280391418893489_0.00315357263799526_0.000211187853721938_0.0001055165317495
1814,63,662-86-12-2-1,0.0553295362082994_0.0127963869025216_0.00143921435827972_9.63810339133676e-05_4.81551956977582e-05
1814,64,544-120-2-2-1,0.00372208436724566_0.000802782981000803_0.000112032265292404_8.50420887470891e-06_4.24898785568454e-06
1814,65,662-86-12-2-1,0.0602115541090317_0.0139254798645088_0.00156620386048087_0.000104885242788077_5.24041835534427e-05
1814,66,791-114-29-2-1,0.00309119010819165_0.000640614990390775_0.000150619422374515_5.66947258313927e-06_2.83265857045636e-06
1814,67,662-86-12-2-1,0.0593978844589097_0.0137372977041776_0.00154503894344734_0.000103467874642292_5.16960189108286e-05
1814,68,662-86-12-2-1,0.0862489829129374_0.0199473089951073_0.00224348120555367_0.000150241023453191_7.50654521170936e-05
1814,69,662-86-12-2-1,0.0602115541090317_0.0139254798645088_0.00156620386048087_0.000104885242788077_5.24041835534427e-05
1814,70,805-53-24-3-1,0.0138043036946813_0.000867258443016019_0.000546421741156807_0.000248945641986879_2.40775978488791e-05
1814,71,662-86-12-2-1,0.0838079739625712_0.0193827625141137_0.0021799864544531_0.000145988919015836_7.29409581892513e-05
1814,72,256-34-13-1-1,1_0.184842661542157_0.0272288176076149_0.00540007579053741_0.00217973076996617
1814,73,556-3-3-1-1,0.0212620027434842_0.00117424242424242_0.000326986973260904_5.43867282347822e-05_2.19531039210368e-05
1814,74,124-66-6-1-1,0.00137315482320632_0.000488997555012225_5.60067208064968e-05_7.01764235287513e-06_2.83265857045636e-06
1814,75,607-109-28-2-1,0.00156433320297223_0.000330660494337439_8.01458654751648e-05_5.66947258313927e-06_2.83265857045636e-06
1814,76,607-109-28-2-1,0.00821274931560422_0.00173596759527155_0.000420765793744615_2.97647310614812e-05_1.48714574948959e-05
1814,77,167-87-20-2-1,0.00223713646532438_0.000376718779431155_8.33941415615553e-05_5.66947258313927e-06_2.83265857045636e-06
1814,78,714-123-12-2-1,0.00605326876513317_0.000628298567479266_0.000105824585167626_7.08684072892409e-06_3.54082321307045e-06
1814,79,113-55-10-2-1,0.00369198312236287_0.00157835400225479_0.000555643752976663_9.92157702049373e-06_4.95715249829863e-06
1814,80,607-109-28-2-1,0.00156433320297223_0.000330660494337439_8.01458654751648e-05_5.66947258313927e-06_2.83265857045636e-06
1814,81,337-18-12-2-1,0.0110741971207087_0.0011936022917164_0.000211649170335252_1.41736814578482e-05_7.08164642614091e-06
1814,82,693-147-29-2-1,0.00583333333333333_0.00128629180448365_0.000263583989155402_9.92157702049373e-06_4.95715249829863e-06
1814,83,763-111-25-2-1,0.00189633375474083_0.000147289866457188_7.47775368279369e-05_4.25210443735445e-06_2.12449392784227e-06
1814,84,770-136-15-2-1,0.00995024875621891_0.0021375133594585_0.00032520325203252_8.50420887470891e-06_4.24898785568454e-06
1814,85,436-139-15-2-1,0.0029520295202952_0.00111888111888112_0.00021680216802168_5.66947258313927e-06_2.83265857045636e-06
1814,86,396-3-3-1-1,0.0804218852999341_0.00462121212121212_0.00128685195928485_0.000214038091762691_8.63960863989191e-05
1814,87,693-147-29-2-1,0.0125_0.00275633958103638_0.000564822833904432_2.12605221867723e-05_1.06224696392114e-05
1814,88,607-109-28-2-1,0.00351974970668752_0.000743986112259238_0.000180328197319121_1.27563133120634e-05_6.37348178352682e-06
1814,89,59-4-4-2-1,0.00292112950340798_0.00028100412139378_0.000101385603244339_4.25210443735445e-06_2.12449392784227e-06
1814,90,10-9-7-1-1,0.0223182145428366_0.00294452887537994_0.000336462799153416_5.43867282347822e-05_2.19531039210368e-05
1814,91,124-66-6-1-1,0.00205973223480947_0.000733496332518337_8.40100812097452e-05_1.05264635293127e-05_4.24898785568454e-06
1814,92,693-147-29-2-1,0.00583333333333333_0.00128629180448365_0.000263583989155402_9.92157702049373e-06_4.95715249829863e-06
1814,93,236-66-6-1-1,0.00144875045273452_0.000488997555012225_5.60067208064968e-05_7.01764235287513e-06_2.83265857045636e-06
