Sample,word_ID_full,topic
877,1,290-59-13-1-1
877,3,23-6-1-1-1
877,5,310-59-13-1-1
877,7,57-31-4-1-1
877,9,281-17-4-1-1
877,11,310-59-13-1-1
877,12,23-6-1-1-1
877,13,23-6-1-1-1
877,14,103-31-4-1-1
877,16,264-7-4-1-1
877,18,266-58-12-1-1
877,20,86-40-4-1-1
877,21,254-54-3-1-1
877,22,33-8-5-1-1
877,23,103-31-4-1-1
877,24,23-6-1-1-1
877,26,310-59-13-1-1
877,29,95-21-6-1-1
877,30,23-6-1-1-1
877,32,268-41-9-1-1
877,33,23-6-1-1-1
877,34,263-53-5-1-1
877,35,103-31-4-1-1
877,36,254-54-3-1-1
877,38,281-17-4-1-1
877,39,23-6-1-1-1
877,41,266-58-12-1-1
877,42,23-6-1-1-1
877,44,23-6-1-1-1
877,45,108-40-4-1-1
877,47,237-49-9-1-1
877,48,23-6-1-1-1
877,49,240-34-8-1-1
877,51,138-21-6-1-1
877,52,179-35-6-1-1
877,54,266-58-12-1-1
877,55,23-6-1-1-1
877,56,91-42-13-1-1
877,57,164-8-5-1-1
877,58,23-6-1-1-1
877,59,288-44-9-1-1
877,60,288-44-9-1-1
877,61,310-59-13-1-1
877,62,288-44-9-1-1
877,63,288-44-9-1-1
877,65,288-44-9-1-1
877,66,23-6-1-1-1
877,67,288-44-9-1-1
877,68,288-44-9-1-1
877,69,288-44-9-1-1
877,70,310-59-13-1-1
877,71,288-44-9-1-1
877,72,194-4-1-1-1
877,73,13-9-9-1-1
877,74,23-6-1-1-1
877,75,23-6-1-1-1
877,76,276-34-8-1-1
877,77,48-20-8-1-1
877,78,23-6-1-1-1
877,79,23-6-1-1-1
877,81,62-9-9-1-1
877,82,23-6-1-1-1
877,83,23-6-1-1-1
877,84,103-31-4-1-1
877,85,23-6-1-1-1
877,86,6-4-1-1-1
877,87,278-20-8-1-1
877,88,86-40-4-1-1
877,90,130-49-9-1-1
877,91,23-6-1-1-1
877,92,7-5-3-1-1
877,93,300-34-8-1-1
877,94,310-59-13-1-1
877,95,23-6-1-1-1
877,96,23-6-1-1-1
877,97,141-43-3-1-1
877,98,74-1-1-1-1
877,99,207-52-4-1-1
877,100,173-24-8-1-1
877,101,23-6-1-1-1
877,102,23-6-1-1-1
877,103,278-20-8-1-1
877,105,164-8-5-1-1
877,106,19-14-1-1-1
877,107,218-9-9-1-1
877,108,175-27-6-1-1
877,109,173-24-8-1-1
877,110,204-52-4-1-1
877,111,39-10-6-1-1
877,112,266-58-12-1-1
877,113,260-9-9-1-1
877,114,204-52-4-1-1
877,115,226-24-8-1-1
877,116,62-9-9-1-1
877,117,236-43-3-1-1
877,118,89-41-9-1-1
877,119,54-28-10-2-1
877,120,229-57-7-1-1
877,121,23-6-1-1-1
877,123,141-43-3-1-1
877,124,226-24-8-1-1
877,125,64-9-9-1-1
877,126,23-6-1-1-1
877,127,23-6-1-1-1
877,128,288-44-9-1-1
877,129,59-32-12-1-1
877,130,86-40-4-1-1
877,131,38-20-8-1-1
877,132,278-20-8-1-1
877,133,23-6-1-1-1
877,135,230-44-9-1-1
877,136,172-50-7-1-1
877,137,43-23-8-1-1
877,138,235-17-4-1-1
877,139,23-6-1-1-1
877,140,226-24-8-1-1
877,141,151-35-6-1-1
877,142,36-16-8-1-1
877,143,236-43-3-1-1
877,144,260-9-9-1-1
877,146,23-6-1-1-1
877,147,289-20-8-1-1
877,148,283-45-5-1-1
877,149,23-6-1-1-1
877,150,40-21-6-1-1
877,151,179-35-6-1-1
877,152,14-2-2-2-1
877,153,234-42-13-1-1
877,154,23-6-1-1-1
877,156,19-14-1-1-1
877,157,276-34-8-1-1
877,159,226-24-8-1-1
877,160,290-59-13-1-1
877,161,229-57-7-1-1
877,162,23-6-1-1-1
877,163,266-58-12-1-1
877,164,266-58-12-1-1
877,165,23-6-1-1-1
877,166,131-17-4-1-1
877,168,257-46-11-1-1
877,169,138-21-6-1-1
877,170,281-17-4-1-1
877,171,235-17-4-1-1
877,172,230-44-9-1-1
877,173,255-5-3-1-1
877,174,38-20-8-1-1
877,175,128-4-1-1-1
877,176,240-34-8-1-1
877,177,23-6-1-1-1
877,178,15-10-6-1-1
877,179,276-34-8-1-1
877,180,23-6-1-1-1
877,181,173-24-8-1-1
877,182,266-58-12-1-1
877,183,152-11-5-1-1
877,184,58-24-8-1-1
877,185,23-6-1-1-1
877,186,164-8-5-1-1
877,187,310-59-13-1-1
877,188,59-32-12-1-1
877,189,310-59-13-1-1
877,190,310-59-13-1-1
877,191,229-57-7-1-1
877,193,23-6-1-1-1
877,195,23-6-1-1-1
877,196,23-6-1-1-1
877,197,23-6-1-1-1
877,198,23-6-1-1-1
877,199,283-45-5-1-1
877,200,177-53-5-1-1
877,201,41-9-9-1-1
877,202,14-2-2-2-1
877,203,64-9-9-1-1
877,204,63-33-13-1-1
877,206,229-57-7-1-1
877,207,207-52-4-1-1
877,208,256-57-7-1-1
877,209,14-2-2-2-1
877,210,248-19-4-1-1
877,211,229-57-7-1-1
877,212,268-41-9-1-1
877,213,23-6-1-1-1
877,214,252-13-12-1-1
877,217,23-6-1-1-1
877,218,105-45-5-1-1
877,219,229-57-7-1-1
877,220,226-24-8-1-1
877,221,113-34-8-1-1
877,222,184-10-6-1-1
877,223,151-35-6-1-1
877,224,209-27-6-1-1
877,225,207-52-4-1-1
877,226,143-52-4-1-1
877,227,23-6-1-1-1
877,228,59-32-12-1-1
877,229,229-57-7-1-1
877,230,24-11-5-1-1
877,231,23-6-1-1-1
877,232,229-57-7-1-1
877,233,23-6-1-1-1
877,234,179-35-6-1-1
877,235,23-6-1-1-1
877,236,173-24-8-1-1
877,238,190-3-3-1-1
877,240,13-9-9-1-1
877,241,43-23-8-1-1
877,242,25-17-4-1-1
877,244,34-20-8-1-1
877,245,15-10-6-1-1
877,246,291-35-6-1-1
877,247,59-32-12-1-1
877,248,23-6-1-1-1
877,250,170-44-9-1-1
877,251,23-6-1-1-1
877,253,23-6-1-1-1
877,255,40-21-6-1-1
877,256,15-10-6-1-1
877,257,6-4-1-1-1
877,258,12-8-5-1-1
877,259,159-35-6-1-1
877,260,23-6-1-1-1
877,261,23-6-1-1-1
877,263,23-6-1-1-1
877,264,268-41-9-1-1
877,265,15-10-6-1-1
877,266,248-19-4-1-1
877,267,19-14-1-1-1
877,268,63-33-13-1-1
877,269,7-5-3-1-1
877,270,23-6-1-1-1
877,271,63-33-13-1-1
877,272,266-58-12-1-1
877,275,23-6-1-1-1
877,276,23-6-1-1-1
877,277,23-6-1-1-1
877,279,218-9-9-1-1
877,280,232-48-6-1-1
877,281,23-6-1-1-1
877,282,125-49-9-1-1
877,283,260-9-9-1-1
877,284,152-11-5-1-1
877,285,231-42-13-1-1
877,286,23-6-1-1-1
877,287,268-41-9-1-1
877,288,59-32-12-1-1
877,290,290-59-13-1-1
877,291,23-6-1-1-1
877,293,23-6-1-1-1
877,294,23-6-1-1-1
877,295,268-41-9-1-1
877,296,131-17-4-1-1
877,297,131-17-4-1-1
877,299,23-6-1-1-1
877,300,24-11-5-1-1
877,301,256-57-7-1-1
877,303,23-6-1-1-1
877,306,105-45-5-1-1
877,307,273-44-9-1-1
877,308,23-6-1-1-1
877,309,16-11-5-1-1
877,310,273-44-9-1-1
877,311,229-57-7-1-1
877,312,263-53-5-1-1
877,313,23-6-1-1-1
877,314,131-17-4-1-1
877,315,208-18-9-1-1
877,316,23-6-1-1-1
877,317,16-11-5-1-1
877,318,131-17-4-1-1
877,319,263-53-5-1-1
877,320,153-53-5-1-1
877,321,23-6-1-1-1
877,322,71-37-3-1-1
877,323,23-6-1-1-1
877,324,173-24-8-1-1
877,327,300-34-8-1-1
877,328,231-42-13-1-1
877,329,159-35-6-1-1
877,330,266-58-12-1-1
877,331,24-11-5-1-1
877,332,235-17-4-1-1
877,333,23-6-1-1-1
877,334,23-6-1-1-1
877,335,59-32-12-1-1
877,336,23-6-1-1-1
877,337,23-6-1-1-1
877,338,13-9-9-1-1
877,339,23-6-1-1-1
877,340,23-6-1-1-1
877,341,33-8-5-1-1
877,342,264-7-4-1-1
877,343,23-6-1-1-1
877,344,40-21-6-1-1
877,345,23-6-1-1-1
877,346,148-2-2-2-1
877,347,23-6-1-1-1
877,348,252-13-12-1-1
877,349,23-6-1-1-1
877,350,252-13-12-1-1
877,356,113-34-8-1-1
877,357,23-6-1-1-1
877,358,7-5-3-1-1
877,359,97-21-6-1-1
877,361,235-17-4-1-1
877,362,23-6-1-1-1
877,363,106-35-6-1-1
877,364,235-17-4-1-1
877,365,165-43-3-1-1
877,366,165-43-3-1-1
877,367,41-9-9-1-1
877,368,147-16-8-1-1
877,369,138-21-6-1-1
877,370,252-13-12-1-1
877,371,136-39-6-1-1
877,372,310-59-13-1-1
877,373,310-59-13-1-1
877,374,110-46-11-1-1
877,375,290-59-13-1-1
877,376,179-35-6-1-1
877,378,217-28-10-2-1
877,380,286-4-1-1-1
877,381,204-52-4-1-1
877,382,143-52-4-1-1
877,383,48-20-8-1-1
877,384,23-6-1-1-1
877,385,230-44-9-1-1
877,386,55-29-11-1-1
877,387,19-14-1-1-1
877,388,254-54-3-1-1
877,389,173-24-8-1-1
877,390,23-6-1-1-1
877,391,23-6-1-1-1
877,392,55-29-11-1-1
877,393,184-10-6-1-1
877,394,207-52-4-1-1
877,395,23-6-1-1-1
877,396,220-27-6-1-1
877,397,218-9-9-1-1
877,398,187-4-1-1-1
877,400,103-31-4-1-1
877,401,179-35-6-1-1
877,402,290-59-13-1-1
877,403,231-42-13-1-1
877,404,173-24-8-1-1
877,405,62-9-9-1-1
877,406,268-41-9-1-1
877,407,173-24-8-1-1
877,408,173-24-8-1-1
877,410,13-9-9-1-1
877,411,189-49-9-1-1
877,413,173-24-8-1-1
877,414,43-23-8-1-1
877,416,68-35-6-1-1
877,417,250-47-8-1-1
877,418,134-40-4-1-1
877,419,152-11-5-1-1
877,420,134-40-4-1-1
877,421,49-4-1-1-1
877,422,288-44-9-1-1
877,423,49-4-1-1-1
877,424,234-42-13-1-1
