Sample,word_ID_full,topic
508,1,9-4-1-1-1
508,2,9-4-1-1-1
508,3,9-4-1-1-1
508,4,91-22-8-1-1
508,9,9-4-1-1-1
508,11,68-22-8-1-1
508,12,9-4-1-1-1
508,13,68-22-8-1-1
508,14,9-4-1-1-1
508,15,68-22-8-1-1
508,16,9-4-1-1-1
508,17,9-4-1-1-1
508,19,68-22-8-1-1
508,21,68-22-8-1-1
508,22,9-4-1-1-1
508,23,68-22-8-1-1
508,25,68-22-8-1-1
508,26,68-22-8-1-1
508,30,91-22-8-1-1
508,31,9-4-1-1-1
508,32,68-22-8-1-1
508,35,68-22-8-1-1
508,36,9-4-1-1-1
508,37,68-22-8-1-1
508,38,68-22-8-1-1
508,40,68-22-8-1-1
508,42,68-22-8-1-1
508,43,68-22-8-1-1
508,45,41-14-2-1-1
508,49,9-4-1-1-1
508,51,91-22-8-1-1
508,52,71-13-2-1-1
508,54,77-19-9-1-1
508,56,46-8-5-1-1
508,57,46-8-5-1-1
508,59,76-7-4-1-1
508,60,12-4-1-1-1
508,61,13-6-2-1-1
508,62,76-7-4-1-1
508,63,68-22-8-1-1
508,64,87-21-9-1-1
508,65,76-7-4-1-1
508,67,76-7-4-1-1
508,68,76-7-4-1-1
508,69,73-19-9-1-1
508,70,68-22-8-1-1
508,71,39-16-2-1-1
508,72,8-4-1-1-1
508,73,9-4-1-1-1
508,75,9-4-1-1-1
508,76,9-4-1-1-1
508,80,9-4-1-1-1
508,81,9-4-1-1-1
508,82,9-4-1-1-1
508,83,9-4-1-1-1
508,86,1-1-1-1-1
508,87,9-4-1-1-1
508,90,9-4-1-1-1
508,92,9-4-1-1-1
508,93,9-4-1-1-1
508,95,9-4-1-1-1
508,97,79-21-9-1-1
508,98,8-4-1-1-1
508,99,9-4-1-1-1
508,101,9-4-1-1-1
508,102,9-4-1-1-1
508,103,9-4-1-1-1
508,105,9-4-1-1-1
508,106,33-7-4-1-1
508,107,9-4-1-1-1
508,108,52-14-2-1-1
508,109,9-4-1-1-1
508,112,81-19-9-1-1
508,114,52-14-2-1-1
508,115,51-10-2-1-1
508,116,9-4-1-1-1
508,117,68-22-8-1-1
508,119,43-11-6-2-1
508,120,9-4-1-1-1
508,123,9-4-1-1-1
508,124,9-4-1-1-1
508,125,9-4-1-1-1
508,128,68-22-8-1-1
508,130,9-4-1-1-1
508,131,18-8-5-1-1
508,132,9-4-1-1-1
508,133,75-13-2-1-1
508,136,69-5-3-1-1
508,138,59-10-2-1-1
508,140,9-4-1-1-1
508,141,9-4-1-1-1
508,146,9-4-1-1-1
508,148,12-4-1-1-1
508,150,9-4-1-1-1
508,151,9-4-1-1-1
508,152,48-7-4-1-1
508,155,68-22-8-1-1
508,156,4-2-2-1-1
508,157,9-4-1-1-1
508,158,9-4-1-1-1
508,160,76-7-4-1-1
508,162,82-3-2-1-1
508,163,81-19-9-1-1
508,164,81-19-9-1-1
508,168,9-4-1-1-1
508,169,9-4-1-1-1
508,170,9-4-1-1-1
508,171,9-4-1-1-1
508,173,4-2-2-1-1
508,174,34-14-2-1-1
508,175,8-4-1-1-1
508,178,81-19-9-1-1
508,179,91-22-8-1-1
508,180,9-4-1-1-1
508,181,9-4-1-1-1
508,182,81-19-9-1-1
508,184,9-4-1-1-1
508,185,9-4-1-1-1
508,187,68-22-8-1-1
508,191,9-4-1-1-1
508,192,9-4-1-1-1
508,194,9-4-1-1-1
508,195,9-4-1-1-1
508,196,9-4-1-1-1
508,197,9-4-1-1-1
508,199,7-3-2-1-1
508,200,55-6-2-1-1
508,201,9-4-1-1-1
508,202,48-7-4-1-1
508,203,52-14-2-1-1
508,204,92-23-3-1-1
508,206,9-4-1-1-1
508,208,47-6-2-1-1
508,209,48-7-4-1-1
508,211,47-6-2-1-1
508,212,9-4-1-1-1
508,214,85-20-9-1-1
508,215,9-4-1-1-1
508,218,9-4-1-1-1
508,221,38-10-2-1-1
508,222,8-4-1-1-1
508,224,30-14-2-1-1
