Sample,word_ID_full,topic
1118,1,193-69-13-2-1
1118,2,224-59-11-2-1
1118,3,103-54-3-2-1
1118,4,231-21-3-2-1
1118,5,252-78-5-3-1
1118,6,349-69-13-2-1
1118,7,349-69-13-2-1
1118,8,181-28-9-1-1
1118,9,275-21-3-2-1
1118,10,181-28-9-1-1
1118,11,197-41-14-2-1
1118,12,217-57-6-2-1
1118,13,264-77-14-2-1
1118,14,197-41-14-2-1
1118,15,264-77-14-2-1
1118,16,197-41-14-2-1
1118,17,105-55-11-2-1
1118,18,362-79-12-2-1
1118,19,264-77-14-2-1
1118,20,275-21-3-2-1
1118,21,264-77-14-2-1
1118,22,348-73-10-2-1
1118,23,197-41-14-2-1
1118,24,24-21-3-2-1
1118,25,264-77-14-2-1
1118,26,252-78-5-3-1
1118,30,181-28-9-1-1
1118,31,181-28-9-1-1
1118,32,30-25-3-2-1
1118,33,370-22-12-2-1
1118,35,197-41-14-2-1
1118,37,264-77-14-2-1
1118,38,264-77-14-2-1
1118,39,197-41-14-2-1
1118,40,264-77-14-2-1
1118,41,362-79-12-2-1
1118,42,264-77-14-2-1
1118,43,264-77-14-2-1
1118,44,366-35-9-1-1
1118,45,37-29-4-3-1
1118,46,238-32-10-2-1
1118,47,335-54-3-2-1
1118,48,99-20-11-2-1
1118,49,305-70-2-2-1
1118,51,176-74-7-2-1
1118,52,164-18-9-1-1
1118,53,106-3-3-2-1
1118,54,362-79-12-2-1
1118,55,59-21-3-2-1
1118,56,292-61-8-2-1
1118,57,112-57-6-2-1
1118,58,219-32-10-2-1
1118,59,187-55-11-2-1
1118,60,187-55-11-2-1
1118,61,252-78-5-3-1
1118,62,187-55-11-2-1
1118,63,117-55-11-2-1
1118,64,366-35-9-1-1
1118,65,117-55-11-2-1
1118,66,260-74-7-2-1
1118,67,187-55-11-2-1
1118,68,117-55-11-2-1
1118,69,19-17-10-2-1
1118,70,252-78-5-3-1
1118,71,187-55-11-2-1
1118,72,261-63-1-1-1
1118,73,365-67-10-2-1
1118,74,106-3-3-2-1
1118,75,86-14-9-1-1
1118,76,86-14-9-1-1
1118,77,106-3-3-2-1
1118,78,181-28-9-1-1
1118,79,100-52-13-2-1
1118,80,181-28-9-1-1
1118,81,188-68-13-2-1
1118,82,121-43-2-2-1
1118,83,270-14-9-1-1
1118,84,368-61-8-2-1
1118,85,157-61-8-2-1
1118,86,57-1-1-1-1
1118,87,260-74-7-2-1
1118,88,210-2-2-2-1
1118,89,163-54-3-2-1
1118,90,322-47-10-2-1
1118,91,325-82-10-2-1
1118,92,368-61-8-2-1
1118,93,366-35-9-1-1
1118,94,252-78-5-3-1
1118,95,373-31-2-2-1
1118,96,321-17-10-2-1
1118,97,360-18-9-1-1
1118,98,72-10-1-1-1
1118,99,12-11-1-1-1
1118,101,366-35-9-1-1
1118,102,260-74-7-2-1
1118,103,112-57-6-2-1
1118,104,188-68-13-2-1
1118,105,112-57-6-2-1
1118,106,74-1-1-1-1
1118,107,269-52-13-2-1
1118,108,159-63-1-1-1
1118,109,305-70-2-2-1
1118,110,301-52-13-2-1
1118,111,125-59-11-2-1
1118,112,362-79-12-2-1
1118,113,39-31-2-2-1
1118,114,86-14-9-1-1
1118,115,355-73-10-2-1
1118,116,154-66-13-2-1
1118,117,163-54-3-2-1
1118,118,108-56-3-2-1
1118,119,343-81-5-3-1
1118,120,43-34-10-2-1
1118,121,370-22-12-2-1
1118,122,106-3-3-2-1
1118,123,181-28-9-1-1
1118,124,79-16-10-2-1
1118,125,388-31-2-2-1
1118,126,260-74-7-2-1
1118,127,106-3-3-2-1
1118,128,129-20-11-2-1
1118,129,370-22-12-2-1
1118,130,275-21-3-2-1
1118,131,176-74-7-2-1
1118,132,373-31-2-2-1
1118,133,373-31-2-2-1
1118,134,106-3-3-2-1
1118,135,390-25-3-2-1
1118,136,307-75-15-3-1
1118,137,121-43-2-2-1
1118,138,354-48-10-2-1
1118,139,103-54-3-2-1
1118,140,175-73-10-2-1
1118,141,353-50-10-2-1
1118,142,275-21-3-2-1
1118,143,353-50-10-2-1
1118,144,39-31-2-2-1
1118,145,106-3-3-2-1
1118,146,79-16-10-2-1
1118,147,121-43-2-2-1
1118,148,176-74-7-2-1
1118,149,366-35-9-1-1
1118,150,19-17-10-2-1
1118,151,39-31-2-2-1
1118,152,118-29-4-3-1
1118,153,181-28-9-1-1
1118,154,79-16-10-2-1
1118,155,46-35-9-1-1
1118,156,390-25-3-2-1
1118,157,210-2-2-2-1
1118,158,78-48-10-2-1
1118,159,353-50-10-2-1
1118,160,193-69-13-2-1
1118,161,43-34-10-2-1
1118,162,264-77-14-2-1
1118,163,362-79-12-2-1
1118,164,362-79-12-2-1
1118,165,381-31-2-2-1
1118,166,79-16-10-2-1
1118,167,106-3-3-2-1
1118,168,292-61-8-2-1
1118,169,72-10-1-1-1
1118,170,99-20-11-2-1
1118,171,381-31-2-2-1
1118,172,181-28-9-1-1
1118,173,248-76-8-2-1
1118,174,231-21-3-2-1
1118,175,261-63-1-1-1
1118,176,381-31-2-2-1
1118,177,366-35-9-1-1
1118,178,240-36-2-2-1
1118,179,370-22-12-2-1
1118,180,86-14-9-1-1
1118,181,211-66-13-2-1
1118,182,362-79-12-2-1
1118,183,335-54-3-2-1
1118,184,56-43-2-2-1
1118,185,266-79-12-2-1
1118,186,112-57-6-2-1
1118,187,252-78-5-3-1
1118,188,138-49-2-2-1
1118,189,252-78-5-3-1
1118,190,252-78-5-3-1
1118,191,43-34-10-2-1
1118,192,86-14-9-1-1
1118,193,181-28-9-1-1
1118,194,398-62-6-2-1
1118,195,213-21-3-2-1
1118,196,162-58-10-2-1
1118,197,95-12-8-2-1
1118,198,122-31-2-2-1
1118,199,392-61-8-2-1
1118,200,174-59-11-2-1
1118,201,19-17-10-2-1
1118,202,198-29-4-3-1
1118,203,223-50-10-2-1
1118,204,189-45-4-3-1
1118,205,33-27-8-2-1
1118,206,43-34-10-2-1
1118,207,305-70-2-2-1
1118,208,109-26-7-2-1
1118,209,198-29-4-3-1
1118,210,171-71-6-2-1
1118,211,352-25-3-2-1
1118,212,210-2-2-2-1
1118,213,59-21-3-2-1
1118,214,217-57-6-2-1
1118,215,370-22-12-2-1
1118,216,106-3-3-2-1
1118,217,369-82-10-2-1
1118,218,366-35-9-1-1
1118,219,351-55-11-2-1
1118,220,351-55-11-2-1
1118,221,393-79-12-2-1
1118,222,72-10-1-1-1
1118,223,171-71-6-2-1
1118,224,240-36-2-2-1
1118,225,210-2-2-2-1
1118,226,267-80-3-2-1
1118,227,325-82-10-2-1
1118,228,370-22-12-2-1
1118,229,181-28-9-1-1
1118,230,366-35-9-1-1
1118,231,105-55-11-2-1
1118,232,43-34-10-2-1
1118,233,366-35-9-1-1
1118,234,13-6-2-2-1
1118,235,33-27-8-2-1
1118,236,78-48-10-2-1
1118,237,148-8-3-2-1
1118,238,366-35-9-1-1
1118,240,371-65-13-2-1
1118,241,325-82-10-2-1
1118,242,6-6-2-2-1
1118,244,393-79-12-2-1
1118,245,37-29-4-3-1
1118,246,213-21-3-2-1
1118,247,370-22-12-2-1
1118,248,122-31-2-2-1
1118,249,366-35-9-1-1
1118,250,106-3-3-2-1
1118,251,157-61-8-2-1
1118,252,106-3-3-2-1
1118,253,381-31-2-2-1
1118,255,19-17-10-2-1
1118,256,37-29-4-3-1
1118,257,65-12-8-2-1
1118,258,127-34-10-2-1
1118,259,366-35-9-1-1
1118,260,65-12-8-2-1
1118,261,219-32-10-2-1
1118,262,397-41-14-2-1
1118,263,361-25-3-2-1
1118,264,336-12-8-2-1
1118,265,37-29-4-3-1
1118,266,254-71-6-2-1
1118,267,74-1-1-1-1
1118,268,189-45-4-3-1
1118,269,267-80-3-2-1
1118,270,238-32-10-2-1
1118,271,189-45-4-3-1
1118,272,362-79-12-2-1
1118,273,381-31-2-2-1
1118,274,157-61-8-2-1
1118,275,108-56-3-2-1
1118,276,46-35-9-1-1
1118,277,278-65-13-2-1
1118,278,254-71-6-2-1
1118,279,205-72-7-2-1
1118,280,106-3-3-2-1
1118,282,150-45-4-3-1
1118,283,46-35-9-1-1
1118,284,65-12-8-2-1
1118,285,188-68-13-2-1
1118,286,188-68-13-2-1
1118,287,266-79-12-2-1
1118,288,370-22-12-2-1
1118,289,178-51-5-3-1
1118,290,193-69-13-2-1
1118,293,315-70-2-2-1
1118,294,275-21-3-2-1
1118,295,191-25-3-2-1
1118,296,366-35-9-1-1
1118,299,181-28-9-1-1
1118,300,157-61-8-2-1
1118,301,83-35-9-1-1
1118,302,366-35-9-1-1
1118,303,366-35-9-1-1
1118,305,157-61-8-2-1
1118,306,219-32-10-2-1
1118,307,33-27-8-2-1
1118,308,134-62-6-2-1
1118,309,139-19-9-1-1
1118,310,299-25-3-2-1
1118,311,157-61-8-2-1
1118,312,213-21-3-2-1
1118,313,33-27-8-2-1
1118,314,181-28-9-1-1
1118,315,213-21-3-2-1
1118,316,59-21-3-2-1
1118,317,181-28-9-1-1
1118,319,370-22-12-2-1
1118,320,279-27-8-2-1
1118,321,229-74-7-2-1
1118,323,25-22-12-2-1
1118,324,357-59-11-2-1
1118,325,275-21-3-2-1
