Sample,word_ID_full,topic
783,1,6-6-2-1
783,2,20-1-1-1
783,3,71-10-2-1
783,4,85-2-2-1
783,5,96-18-3-1
783,6,77-6-2-1
783,7,42-11-1-1
783,8,42-11-1-1
783,9,60-16-2-1
783,10,35-2-2-1
783,11,96-18-3-1
783,12,35-2-2-1
783,13,60-16-2-1
783,14,83-16-2-1
783,15,60-16-2-1
783,16,83-16-2-1
783,17,45-11-1-1
783,18,71-10-2-1
783,19,60-16-2-1
783,20,91-14-2-1
783,21,60-16-2-1
783,22,80-9-2-1
783,23,83-16-2-1
783,24,83-16-2-1
783,25,35-2-2-1
783,26,96-18-3-1
783,27,50-6-2-1
783,28,50-6-2-1
783,30,20-1-1-1
783,31,46-5-1-1
783,32,60-16-2-1
783,33,96-18-3-1
783,35,83-16-2-1
783,36,83-16-2-1
783,38,60-16-2-1
783,39,60-16-2-1
783,41,71-10-2-1
783,43,60-16-2-1
783,44,83-16-2-1
783,45,92-10-2-1
783,46,15-6-2-1
783,47,6-6-2-1
783,48,6-6-2-1
783,49,90-6-2-1
783,51,15-6-2-1
783,52,85-2-2-1
783,53,71-10-2-1
783,54,71-10-2-1
783,56,81-15-2-1
783,57,95-10-2-1
783,58,57-16-2-1
783,59,63-6-2-1
783,60,63-6-2-1
783,61,96-18-3-1
783,62,63-6-2-1
783,63,63-6-2-1
783,65,63-6-2-1
783,66,71-10-2-1
783,67,63-6-2-1
783,68,63-6-2-1
783,69,63-6-2-1
783,70,96-18-3-1
783,71,63-6-2-1
783,72,24-13-2-1
783,73,50-6-2-1
783,74,20-1-1-1
783,76,5-5-1-1
783,77,81-15-2-1
783,78,6-6-2-1
783,79,75-15-2-1
783,80,5-5-1-1
783,81,62-12-2-1
783,82,17-2-2-1
783,83,50-6-2-1
783,84,20-1-1-1
783,85,20-1-1-1
783,86,23-11-1-1
783,87,10-9-2-1
783,88,22-11-1-1
783,89,75-15-2-1
783,90,34-6-2-1
783,91,22-11-1-1
783,92,20-1-1-1
783,93,73-3-2-1
783,94,96-18-3-1
783,95,20-1-1-1
783,96,46-5-1-1
783,97,6-6-2-1
783,98,11-4-2-1
783,99,90-6-2-1
783,100,76-4-2-1
783,101,15-6-2-1
783,102,26-9-2-1
783,103,14-10-2-1
783,104,96-18-3-1
783,105,95-10-2-1
783,106,23-11-1-1
783,107,95-10-2-1
783,108,24-13-2-1
783,109,76-4-2-1
783,110,2-2-2-1
783,111,90-6-2-1
783,112,71-10-2-1
783,113,78-4-2-1
783,114,22-11-1-1
783,115,3-3-2-1
783,116,17-2-2-1
783,117,96-18-3-1
783,118,17-2-2-1
783,119,68-8-3-1
783,120,26-9-2-1
783,121,96-18-3-1
783,122,71-10-2-1
783,123,64-9-2-1
783,124,8-2-2-1
783,125,8-2-2-1
783,126,91-14-2-1
783,127,71-10-2-1
783,128,34-6-2-1
783,129,96-18-3-1
783,130,8-2-2-1
783,131,15-6-2-1
783,132,18-12-2-1
783,133,62-12-2-1
783,134,71-10-2-1
783,135,54-14-2-1
783,136,32-5-1-1
783,137,74-2-2-1
783,138,62-12-2-1
783,139,46-5-1-1
783,140,3-3-2-1
783,141,28-15-2-1
783,142,30-3-2-1
783,143,27-12-2-1
783,144,78-4-2-1
783,145,6-6-2-1
783,146,48-3-2-1
783,147,5-5-1-1
783,148,87-9-2-1
783,149,90-6-2-1
783,150,64-9-2-1
783,151,6-6-2-1
783,152,34-6-2-1
783,153,74-2-2-1
783,154,26-9-2-1
783,155,20-1-1-1
783,156,48-3-2-1
783,157,33-15-2-1
783,158,22-11-1-1
783,159,3-3-2-1
783,160,6-6-2-1
783,161,26-9-2-1
783,162,75-15-2-1
783,163,71-10-2-1
783,164,71-10-2-1
783,165,48-3-2-1
783,166,55-14-2-1
783,167,71-10-2-1
783,168,2-2-2-1
783,169,15-6-2-1
783,170,36-2-2-1
783,171,20-1-1-1
783,172,35-2-2-1
783,173,56-5-1-1
783,174,15-6-2-1
783,175,24-13-2-1
783,176,81-15-2-1
783,177,75-15-2-1
