Sample,word_ID_full,topic
407,2,9-2-1-1-1
407,7,1-1-1-1-1
407,22,15-2-1-1-1
407,23,9-2-1-1-1
407,33,1-1-1-1-1
407,35,9-2-1-1-1
407,45,4-3-1-1-1
407,51,10-3-1-1-1
407,56,1-1-1-1-1
407,59,9-2-1-1-1
407,60,13-2-1-1-1
407,61,1-1-1-1-1
407,62,6-1-1-1-1
407,63,6-1-1-1-1
407,65,6-1-1-1-1
407,67,12-3-1-1-1
407,68,9-2-1-1-1
407,69,9-2-1-1-1
407,70,1-1-1-1-1
407,71,9-2-1-1-1
407,72,8-1-1-1-1
407,75,1-1-1-1-1
407,76,1-1-1-1-1
407,86,10-3-1-1-1
407,87,1-1-1-1-1
407,94,1-1-1-1-1
407,98,8-1-1-1-1
407,99,1-1-1-1-1
407,103,7-3-1-1-1
407,106,9-2-1-1-1
407,107,1-1-1-1-1
407,108,7-3-1-1-1
407,109,1-1-1-1-1
407,115,1-1-1-1-1
407,119,14-4-2-1-1
407,120,1-1-1-1-1
407,126,1-1-1-1-1
407,127,7-3-1-1-1
407,130,1-1-1-1-1
407,131,12-3-1-1-1
407,136,1-1-1-1-1
407,138,1-1-1-1-1
407,140,10-3-1-1-1
407,144,1-1-1-1-1
407,146,1-1-1-1-1
407,147,4-3-1-1-1
407,148,13-2-1-1-1
407,150,1-1-1-1-1
407,152,13-2-1-1-1
407,153,1-1-1-1-1
407,155,1-1-1-1-1
407,156,1-1-1-1-1
407,159,10-3-1-1-1
407,162,1-1-1-1-1
407,163,12-3-1-1-1
407,164,12-3-1-1-1
407,165,1-1-1-1-1
407,169,13-2-1-1-1
407,170,9-2-1-1-1
407,173,10-3-1-1-1
407,175,8-1-1-1-1
407,178,10-3-1-1-1
407,179,1-1-1-1-1
407,182,12-3-1-1-1
407,183,1-1-1-1-1
407,184,3-1-1-1-1
407,185,1-1-1-1-1
407,187,1-1-1-1-1
407,191,1-1-1-1-1
407,196,1-1-1-1-1
407,199,13-2-1-1-1
407,201,5-3-1-1-1
407,202,13-2-1-1-1
407,203,1-1-1-1-1
407,204,9-2-1-1-1
407,208,1-1-1-1-1
407,209,13-2-1-1-1
407,210,5-3-1-1-1
407,214,1-1-1-1-1
407,217,1-1-1-1-1
407,218,10-3-1-1-1
407,221,3-1-1-1-1
407,222,8-1-1-1-1
407,223,1-1-1-1-1
407,224,10-3-1-1-1
407,225,1-1-1-1-1
407,231,1-1-1-1-1
407,234,13-2-1-1-1
407,235,1-1-1-1-1
407,236,1-1-1-1-1
407,240,1-1-1-1-1
407,241,9-2-1-1-1
407,244,1-1-1-1-1
407,245,6-1-1-1-1
407,246,4-3-1-1-1
407,247,1-1-1-1-1
407,248,1-1-1-1-1
407,250,1-1-1-1-1
407,255,7-3-1-1-1
407,256,8-1-1-1-1
407,257,1-1-1-1-1
407,258,7-3-1-1-1
407,264,8-1-1-1-1
407,265,2-1-1-1-1
407,266,5-3-1-1-1
407,267,1-1-1-1-1
407,268,6-1-1-1-1
407,271,9-2-1-1-1
407,273,9-2-1-1-1
407,275,1-1-1-1-1
407,280,7-3-1-1-1
