Sample,word_ID_full,topic,p
1717,1,672-59-16-2-1,0.0128813559322034_0.00192444039299099_0.000660984519046791_3.84189199026181e-05_1.57276175308303e-05
1717,2,691-113-33-4-1,0.00263852242744063_0.000586510263929619_0.000125601842160352_2.66174539518047e-05_2.48330803118373e-06
1717,3,514-14-10-2-1,0.00276880479926165_0.00039848575413429_0.000113263110205006_1.21322904955636e-05_4.96661606236745e-06
1717,4,592-55-33-4-1,0.004995004995005_0.00154559505409583_0.000209336403600586_4.43624232530078e-05_4.13884671863954e-06
1717,5,686-128-8-1-1,0.00413983440662373_0.00107475519465011_0.0001798956605169_4.83486258246127e-05_7.44992409355118e-06
1717,6,746-129-33-4-1,0.0050547598989048_0.000769329401205283_0.000251203684320703_5.32349079036093e-05_4.96661606236745e-06
1717,7,746-129-33-4-1,0.004212299915754_0.000641107834337736_0.000209336403600586_4.43624232530078e-05_4.13884671863954e-06
1717,8,746-129-33-4-1,0.0050547598989048_0.000769329401205283_0.000251203684320703_5.32349079036093e-05_4.96661606236745e-06
1717,9,483-62-29-2-1,0.0128893662728249_0.00265839610101905_0.000293923139099126_2.42645809911273e-05_9.93323212473491e-06
1717,10,361-123-13-2-1,0.000603864734299517_0.000124890720619458_2.4893579945732e-05_2.02204841592727e-06_8.27769343727909e-07
1717,11,686-128-8-1-1,0.00137994480220791_0.000358251731550036_5.99652201723001e-05_1.61162086082042e-05_2.48330803118373e-06
1717,12,40-31-20-3-1,0.00215238915195867_0.00123213405618531_0.000221004243281471_1.20580135146215e-05_4.13884671863954e-06
1717,13,690-11-22-1-1,0.00319488817891374_0.00087931413497472_0.000207813798836243_2.14882781442723e-05_3.31107737491164e-06
1717,14,747-37-20-3-1,0.0109489051094891_0.00101112234580384_0.000265205091937765_1.44696162175459e-05_4.96661606236745e-06
1717,15,690-11-22-1-1,0.0143769968051118_0.00395691360738624_0.000935162094763092_9.66972516492253e-05_1.48998481871024e-05
1717,16,747-37-20-3-1,0.00547445255474453_0.000505561172901921_0.000132602545968883_7.23480810877293e-06_2.48330803118373e-06
1717,17,675-111-3-2-1,0.00151285930408472_0.00045024763619991_0.000115937548307312_6.06614524778181e-06_2.48330803118373e-06
1717,18,303-14-10-2-1,0.00186358553857622_0.000332071461778575_9.43859251708385e-05_1.01102420796364e-05_4.13884671863954e-06
1717,19,690-11-22-1-1,0.00399361022364217_0.0010991426687184_0.000259767248545303_2.68603476803404e-05_4.13884671863954e-06
1717,20,397-117-18-3-1,0.00985221674876847_0.00151561079114883_0.000360880548538434_2.41160270292431e-05_8.27769343727909e-06
1717,21,690-11-22-1-1,0.0215654952076677_0.00593537041107936_0.00140274314214464_0.000145045877473838_2.23497722806535e-05
1717,22,742-129-33-4-1,0.0252659574468085_0.0024362097704834_0.000795478333682227_0.00016857720836143_1.57276175308303e-05
1717,23,747-37-20-3-1,0.0255474452554745_0.0023592854735423_0.000618811881188119_3.37624378409403e-05_1.15887708121907e-05
1717,24,315-110-28-3-1,0.00161290322580645_0.000286902883373978_6.11938928494936e-05_4.82320540584862e-06_1.65553868745582e-06
1717,25,690-11-22-1-1,0.0199680511182109_0.005495713343592_0.00129883624272652_0.000134301738401702_2.06942335931977e-05
1717,26,686-128-8-1-1,0.00137994480220791_0.000358251731550036_5.99652201723001e-05_1.61162086082042e-05_2.48330803118373e-06
1717,27,459-95-10-2-1,0.0043859649122807_0.000727907992429757_9.43859251708385e-05_1.01102420796364e-05_4.13884671863954e-06
1717,28,459-95-10-2-1,0.0043859649122807_0.000727907992429757_9.43859251708385e-05_1.01102420796364e-05_4.13884671863954e-06
1717,29,663-78-30-4-1,0.00462107208872458_0.000942151874882231_0.000352609308885755_4.43624232530078e-05_4.13884671863954e-06
1717,30,592-55-33-4-1,0.002997002997003_0.000927357032457496_0.000125601842160352_2.66174539518047e-05_2.48330803118373e-06
1717,31,591-104-29-2-1,0.0033112582781457_0.000318945354029343_7.34807847747814e-05_6.06614524778181e-06_2.48330803118373e-06
1717,32,690-11-22-1-1,0.00638977635782748_0.00175862826994944_0.000415627597672485_4.29765562885446e-05_6.62215474982327e-06
1717,33,735-137-32-4-1,0.00140449438202247_0.00140449438202247_0.000440917107583774_3.54899386024062e-05_3.31107737491164e-06
1717,35,747-37-20-3-1,0.0291970802919708_0.00269632625547691_0.000707213578500707_3.8585643246789e-05_1.32443094996465e-05
1717,37,690-11-22-1-1,0.00718849840255591_0.00197845680369312_0.000467581047381546_4.83486258246127e-05_7.44992409355118e-06
1717,38,690-11-22-1-1,0.036741214057508_0.0101121125522093_0.00238985868661679_0.000247115198659131_3.80773898114838e-05
1717,39,467-102-20-3-1,0.00334821428571429_0.000982157472581437_0.000265205091937765_1.44696162175459e-05_4.96661606236745e-06
1717,40,690-11-22-1-1,0.0103833865814696_0.00285777093866784_0.000675394846217789_6.9836903968885e-05_1.07610014684628e-05
1717,41,303-14-10-2-1,0.00186358553857622_0.000332071461778575_9.43859251708385e-05_1.01102420796364e-05_4.13884671863954e-06
1717,42,690-11-22-1-1,0.0215654952076677_0.00593537041107936_0.00140274314214464_0.000145045877473838_2.23497722806535e-05
1717,43,690-11-22-1-1,0.0151757188498403_0.00417674214112992_0.000987115544472153_0.000102069321185293_1.57276175308303e-05
1717,44,483-62-29-2-1,0.00214822771213749_0.000443066016836509_4.89871898498543e-05_4.04409683185454e-06_1.65553868745582e-06
1717,45,623-127-7-1-1,0.212180746561886_0.0410568333016537_0.0150533138197784_0.0011603670197907_0.000178798178245228
1717,46,137-17-13-2-1,0.0156833457804332_0.00325127728750581_0.000522765178860372_4.24630167344727e-05_1.73831562182861e-05
1717,47,10-8-7-1-1,0.00467289719626168_0.000770246478873239_0.000487838873789114_3.76044867524765e-05_5.79438540609536e-06
1717,48,10-8-7-1-1,0.00333778371161549_0.000550176056338028_0.000348456338420796_2.68603476803404e-05_4.13884671863954e-06
1717,49,385-111-3-2-1,0.00504095778197858_0.00120066036319976_0.000309166795486165_1.61763873274182e-05_6.62215474982327e-06
1717,50,490-86-11-4-1,0.00272182906913446_0.000681570338058888_0.000198444197491665_4.43624232530078e-05_4.13884671863954e-06
1717,51,285-4-4-3-1,0.0479857819905213_0.0157037611477317_0.00289652952850936_0.000390679637873738_0.000134098633683921
1717,52,665-102-20-3-1,0.0439970171513796_0.00965788181371747_0.00260785007072136_0.000142284559472534_4.88383912799466e-05
1717,53,514-14-10-2-1,0.00138440239963083_0.000199242877067145_5.66315551025031e-05_6.06614524778181e-06_2.48330803118373e-06
1717,54,303-14-10-2-1,0.00223630264629146_0.00039848575413429_0.000113263110205006_1.21322904955636e-05_4.96661606236745e-06
1717,55,340-77-20-3-1,0.00102249488752556_0.00015330369461904_4.42008486562942e-05_2.41160270292431e-06_8.27769343727909e-07
1717,56,125-67-30-4-1,0.0451289398280802_0.0181660899653979_0.00444287729196051_0.000558966532987898_5.21494686548583e-05
1717,57,232-100-30-4-1,0.138461538461538_0.0133209990749306_0.00507757404795487_0.000638818894843312_5.95993927484094e-05
1717,58,63-40-25-1-1,0.00213675213675214_0.000574712643678161_0.000280688622754491_1.61162086082042e-05_2.48330803118373e-06
1717,59,334-77-20-3-1,0.119078104993598_0.0142572435995707_0.00411067892503536_0.000224279051371961_7.69825489666955e-05
1717,60,457-37-20-3-1,0.0926773455377574_0.0136501516683519_0.00358026874115983_0.000195339818936869_6.70493168419606e-05
1717,61,686-128-8-1-1,0.0188592456301748_0.00489610699785049_0.000819524675688101_0.000220254850978791_3.39385430928443e-05
1717,62,457-37-20-3-1,0.132723112128146_0.0195483653522076_0.00512729844413013_0.00027974591353922_9.60212438724374e-05
1717,63,457-37-20-3-1,0.068649885583524_0.0101112234580384_0.00265205091937765_0.000144696162175459_4.96661606236745e-05
1717,64,225-85-10-2-1,0.00408719346049046_0.00095587063884021_0.000113263110205006_1.21322904955636e-05_4.96661606236745e-06
1717,65,457-37-20-3-1,0.085812356979405_0.012639029322548_0.00331506364922207_0.000180870202719323_6.20827007795932e-05
1717,66,470-105-13-2-1,0.00370096225018505_0.000483372003093581_0.00012446789972866_1.01102420796364e-05_4.13884671863954e-06
1717,67,40-31-20-3-1,0.0258286698235041_0.0147856086742238_0.00265205091937765_0.000144696162175459_4.96661606236745e-05
1717,68,457-37-20-3-1,0.108695652173913_0.0160094371418942_0.00419908062234795_0.000229102256777809_7.86380876541513e-05
1717,69,457-37-20-3-1,0.0709382151029748_0.010448264239973_0.00274045261669024_0.000149519367581307_5.13216993111304e-05
1717,70,686-128-8-1-1,0.0137994480220791_0.00358251731550036_0.000599652201723001_0.000161162086082042_2.48330803118373e-05
1717,71,457-37-20-3-1,0.112128146453089_0.0165149983147961_0.00433168316831683_0.000236337064886582_8.11213956853351e-05
1717,72,233-101-12-2-1,0.347124642206609_0.347124642206609_0.0569173333333333_0.00539482517369396_0.00220848860906606
1717,73,231-29-18-3-1,0.0233863423760524_0.00362739408009286_0.000902201371346084_6.02900675731077e-05_2.06942335931977e-05
1717,74,106-44-27-2-1,0.000782881002087683_0.00019040365575019_7.84641941727258e-05_6.06614524778181e-06_2.48330803118373e-06
1717,75,511-52-28-3-1,0.00167037861915367_0.000212811236433284_9.17908392742404e-05_7.23480810877293e-06_2.48330803118373e-06
1717,76,106-44-27-2-1,0.00521920668058455_0.00126935770500127_0.000523094627818172_4.04409683185454e-05_1.65553868745582e-05
1717,77,106-44-27-2-1,0.000782881002087683_0.00019040365575019_7.84641941727258e-05_6.06614524778181e-06_2.48330803118373e-06
1717,78,387-125-19-4-1,0.00156985871271586_0.000499750124937531_0.000128147626065227_1.77449693012031e-05_1.65553868745582e-06
1717,79,714-10-3-2-1,0.00482315112540193_0.000823497117760088_0.000115937548307312_6.06614524778181e-06_2.48330803118373e-06
1717,80,159-52-28-3-1,0.0040650406504065_0.000354685394055473_0.000152984732123734_1.20580135146215e-05_4.13884671863954e-06
1717,81,715-42-12-2-1,0.0094876660341556_0.00110803324099723_0.000213333333333333_2.02204841592727e-05_8.27769343727909e-06
1717,82,331-15-11-4-1,0.00690335305719921_0.00105278989321703_0.000277821876488331_6.21073925542109e-05_5.79438540609536e-06
1717,83,137-17-13-2-1,0.00298730395817774_0.000619290911905868_9.9574319782928e-05_8.08819366370908e-06_3.31107737491164e-06
1717,84,715-42-12-2-1,0.0047438330170778_0.000554016620498615_0.000106666666666667_1.01102420796364e-05_4.13884671863954e-06
1717,85,581-97-33-4-1,0.00485908649173955_0.0013598041881969_0.000209336403600586_4.43624232530078e-05_4.13884671863954e-06
1717,86,353-51-14-2-1,0.0181436210847976_0.00952094608137903_0.00159870757114249_0.000192094599513091_7.86380876541513e-05
1717,87,403-90-32-4-1,0.0145530145530146_0.00329489291598023_0.00154320987654321_0.000124214785108422_1.15887708121907e-05
1717,88,385-111-3-2-1,0.00378071833648393_0.00090049527239982_0.000231875096614624_1.21322904955636e-05_4.96661606236745e-06
1717,89,490-86-11-4-1,0.00326619488296135_0.000817884405670665_0.000238133036989998_5.32349079036093e-05_4.96661606236745e-06
1717,90,259-8-7-1-1,0.0172684458398744_0.00242077464788732_0.0015332078890515_0.000118185529793498_1.8210925562014e-05
1717,91,106-44-27-2-1,0.00130480167014614_0.000317339426250317_0.000130773656954543_1.01102420796364e-05_4.13884671863954e-06
1717,92,403-90-32-4-1,0.0051975051975052_0.00117674746999294_0.000551146384479718_4.43624232530078e-05_4.13884671863954e-06
1717,93,106-44-27-2-1,0.00130480167014614_0.000317339426250317_0.000130773656954543_1.01102420796364e-05_4.13884671863954e-06
1717,94,686-128-8-1-1,0.00137994480220791_0.000358251731550036_5.99652201723001e-05_1.61162086082042e-05_2.48330803118373e-06
1717,95,715-42-12-2-1,0.00569259962049336_0.000664819944598338_0.000128_1.21322904955636e-05_4.96661606236745e-06
1717,96,644-124-28-3-1,0.00133779264214047_0.000172191132156694_6.11938928494936e-05_4.82320540584862e-06_1.65553868745582e-06
1717,97,715-42-12-2-1,0.00853889943074004_0.000997229916897507_0.000192_1.81984357433454e-05_7.44992409355118e-06
1717,98,353-51-14-2-1,0.323720397249809_0.169873722188815_0.0285243087693317_0.00342737206499672_0.00140306903761881
1717,99,689-27-16-2-1,0.0393184796854522_0.00357824427480916_0.00104365976691599_6.06614524778181e-05_2.48330803118373e-05
1717,100,288-111-3-2-1,0.00256673511293634_0.00075041272699985_0.000193229247178853_1.01102420796364e-05_4.13884671863954e-06
1717,101,137-17-13-2-1,0.0112023898431665_0.002322340919647_0.00037340369918598_3.03307262389091e-05_1.24165401559186e-05
1717,102,604-78-30-4-1,0.0036101083032491_0.000565291124929339_0.000211565585331453_2.66174539518047e-05_2.48330803118373e-06
1717,103,21-17-13-2-1,0.00909090909090909_0.0013934045517882_0.000224042219511588_1.81984357433454e-05_7.44992409355118e-06
1717,104,457-37-20-3-1,0.005720823798627_0.000842601954836535_0.000221004243281471_1.20580135146215e-05_4.13884671863954e-06
1717,105,232-100-30-4-1,0.00961538461538462_0.000925069380203515_0.000352609308885755_4.43624232530078e-05_4.13884671863954e-06
1717,106,145-24-17-2-1,0.503048780487805_0.0282800582740595_0.0117458622530699_0.001334551954512_0.00054632776686042
1717,107,504-34-18-3-1,0.0151362260343088_0.00270807004874526_0.000541320822807651_3.61740405438646e-05_1.24165401559186e-05
1717,108,204-24-17-2-1,0.107221006564551_0.00629874025194961_0.00261612386545649_0.000297241117141309_0.000121682093528003
1717,109,288-111-3-2-1,0.00359342915811088_0.00105057781779979_0.000270520946050394_1.41543389114909e-05_5.79438540609536e-06
1717,110,738-48-18-3-1,0.00615006150061501_0.000752785305630834_0.000180440274269217_1.20580135146215e-05_4.13884671863954e-06
1717,111,15-12-4-3-1,0.00102968937703793_0.000569962952408094_0.000107278871426273_1.44696162175459e-05_4.96661606236745e-06
1717,112,495-14-10-2-1,0.00306936771025169_0.000332071461778575_9.43859251708385e-05_1.01102420796364e-05_4.13884671863954e-06
1717,113,729-91-3-2-1,0.00419067574646412_0.00166666666666667_0.000309166795486165_1.61763873274182e-05_6.62215474982327e-06
1717,114,106-44-27-2-1,0.00600208768267223_0.00145976136075146_0.000601558821990898_4.65071135663272e-05_1.90386949057419e-05
1717,115,722-47-2-2-1,0.0112966601178782_0.0019909972299169_0.000735012143678896_4.65071135663272e-05_1.90386949057419e-05
1717,116,460-26-15-3-1,0.00923951670220327_0.000573495676724898_0.000195812622382889_3.1350835138016e-05_1.07610014684628e-05
1717,117,468-109-34-2-1,0.00402684563758389_0.000859968467822846_0.000383901721159383_1.21322904955636e-05_4.96661606236745e-06
1717,118,64-41-19-4-1,0.0176565008025682_0.00240911081909768_0.000704811943358749_9.75973311566171e-05_9.105462781007e-06
1717,119,316-115-8-1-1,0.0324963072378139_0.0191408374116368_0.0105538787503248_0.00283645271504394_0.000437062213488336
1717,120,391-83-13-2-1,0.00342999688182102_0.00132689987937274_0.000273829379403052_2.22425325752e-05_9.105462781007e-06
1717,121,735-137-32-4-1,0.00175561797752809_0.00175561797752809_0.000551146384479718_4.43624232530078e-05_4.13884671863954e-06
1717,122,514-14-10-2-1,0.00138440239963083_0.000199242877067145_5.66315551025031e-05_6.06614524778181e-06_2.48330803118373e-06
1717,123,711-40-25-1-1,0.00308641975308642_0.000766283524904215_0.000374251497005988_2.14882781442723e-05_3.31107737491164e-06
1717,124,465-2-2-2-1,0.00244738130200685_0.000580652653582627_0.000159785248625847_1.01102420796364e-05_4.13884671863954e-06
1717,125,70-42-12-2-1,0.0127226463104326_0.00110803324099723_0.000213333333333333_2.02204841592727e-05_8.27769343727909e-06
1717,126,397-117-18-3-1,0.00886699507389163_0.00136404971203395_0.00032479249368459_2.17044243263188e-05_7.44992409355118e-06
1717,127,514-14-10-2-1,0.00738347946469774_0.00106262867769144_0.000302034960546683_3.23527746548363e-05_1.32443094996465e-05
1717,128,14-11-22-1-1,0.00980392156862745_0.0032974280061552_0.00077930174563591_8.05810430410211e-05_1.24165401559186e-05
1717,129,735-137-32-4-1,0.00210674157303371_0.00210674157303371_0.000661375661375661_5.32349079036093e-05_4.96661606236745e-06
1717,130,397-117-18-3-1,0.00788177339901478_0.00121248863291907_0.000288704438830747_1.92928216233945e-05_6.62215474982327e-06
1717,131,137-17-13-2-1,0.0784167289021658_0.016256386437529_0.00261382589430186_0.000212315083672363_8.69157810914304e-05
1717,132,715-42-12-2-1,0.00759013282732448_0.000886426592797784_0.000170666666666667_1.61763873274182e-05_6.62215474982327e-06
1717,133,599-47-2-2-1,0.00339904826648538_0.000432825484764543_0.000159785248625847_1.01102420796364e-05_4.13884671863954e-06
1717,134,514-14-10-2-1,0.00138440239963083_0.000199242877067145_5.66315551025031e-05_6.06614524778181e-06_2.48330803118373e-06
1717,135,153-77-20-3-1,0.00452079566003617_0.000766518473095202_0.000221004243281471_1.20580135146215e-05_4.13884671863954e-06
