Sample,word_ID_full,topic,p
1451,1,147-23-13-1-1,0.00866050808314088_0.00142409569923099_0.00017541602834723_1.82107346210346e-05_1.43558391418654e-05
1451,2,297-72-13-1-1,0.00294985250737463_0.000306591722023505_3.5083205669446e-05_3.64214692420692e-06_2.87116782837307e-06
1451,3,581-55-15-1-1,0.00112697220135237_0.000318775900541919_6.69822273823345e-05_3.64214692420692e-06_2.87116782837307e-06
1451,4,333-97-13-1-1,0.00525210084033613_0.000649941505264526_5.84720094490767e-05_6.0702448736782e-06_4.78527971395512e-06
1451,5,130-70-25-2-1,0.00496389891696751_0.00115716389648643_0.00033882642846142_0.00011425485063775_1.05276153707013e-05
1451,6,501-40-14-1-1,0.00282965478211658_0.000822639025995393_0.000190970896035444_6.0702448736782e-06_4.78527971395512e-06
1451,7,501-40-14-1-1,0.00169779286926995_0.000493583415597236_0.000114582537621267_3.64214692420692e-06_2.87116782837307e-06
1451,8,501-40-14-1-1,0.00282965478211658_0.000822639025995393_0.000190970896035444_6.0702448736782e-06_4.78527971395512e-06
1451,9,646-110-19-1-1,0.0151024811218986_0.00233918128654971_0.000272309966544776_1.6996685646299e-05_1.33987831990743e-05
1451,10,500-71-12-3-1,0.00409836065573771_0.000831255195344971_0.000150528732171753_3.20243384972579e-05_3.8282237711641e-06
1451,11,130-70-25-2-1,0.000902527075812274_0.000210393435724805_6.16048051748036e-05_2.07736092068636e-05_1.91411188558205e-06
1451,12,314-97-13-1-1,0.00691244239631336_0.000779929806317431_7.01664113388921e-05_7.28429384841384e-06_5.74233565674614e-06
1451,13,646-110-19-1-1,0.00431499460625674_0.000668337510442774_7.78028475842216e-05_4.85619589894256e-06_3.8282237711641e-06
1451,14,128-69-19-1-1,0.00533333333333333_0.00150791656195024_0.000116704271376332_7.28429384841384e-06_5.74233565674614e-06
1451,15,646-110-19-1-1,0.0183387270765912_0.00284043441938179_0.000330662102232942_2.06388325705059e-05_1.62699510274474e-05
1451,16,128-69-19-1-1,0.00266666666666667_0.000753958280975119_5.83521356881662e-05_3.64214692420692e-06_2.87116782837307e-06
1451,17,608-69-19-1-1,0.00282220131702728_0.000753958280975119_5.83521356881662e-05_3.64214692420692e-06_2.87116782837307e-06
1451,18,652-52-15-1-1,0.00149812734082397_0.000617283950617284_8.93096365097794e-05_4.85619589894256e-06_3.8282237711641e-06
1451,19,646-110-19-1-1,0.00323624595469256_0.00050125313283208_5.83521356881662e-05_3.64214692420692e-06_2.87116782837307e-06
