Sample,word_ID_full,topic,p
387,1,7-5-2-1,0.00037397157816006_0.00037397157816006_8.2203041512536e-05_2.48474984780907e-05
387,6,57-6-1-1,0.00126582278481013_0.0003125_2.79602963791416e-05_1.24237492390454e-05
387,18,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,22,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,41,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,45,56-3-2-1,0.020297699594046_0.00258888505350362_0.00061652281134402_0.00018635623858568
387,48,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,51,17-11-2-1,0.00458295142071494_0.00458295142071494_0.00020550760378134_6.21187461952268e-05
387,52,26-15-2-1,0.00746268656716418_0.00214438884917798_0.000246609124537608_7.45424954342722e-05
387,54,7-5-2-1,0.00037397157816006_0.00037397157816006_8.2203041512536e-05_2.48474984780907e-05
387,56,50-15-2-1,0.00757575757575758_0.00178699070764832_0.00020550760378134_6.21187461952268e-05
387,57,50-15-2-1,0.0136363636363636_0.00321658327376698_0.000369913686806412_0.000111813743151408
387,58,19-12-2-1,0.00108342361863489_0.000437445319335083_4.1101520756268e-05_1.24237492390454e-05
387,59,34-8-2-1,0.0127737226277372_0.00321691176470588_0.000287710645293876_8.69662446733175e-05
387,60,50-15-2-1,0.0106060606060606_0.00250178699070765_0.000287710645293876_8.69662446733175e-05
387,61,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,62,13-4-2-1,0.00378787878787879_0.000826958858796775_0.000164406083025072_4.96949969561814e-05
387,63,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,65,28-6-1-1,0.00643500643500643_0.0015625_0.000139801481895708_6.21187461952268e-05
387,67,58-17-1-1,0.00903954802259887_0.00130612244897959_0.000223682371033133_9.93899939123629e-05
387,68,7-5-2-1,0.00056095736724009_0.00056095736724009_0.000123304562268804_3.72712477171361e-05
387,69,40-6-1-1,0.00268456375838926_0.000625_5.59205927582832e-05_2.48474984780907e-05
387,70,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,71,53-15-2-1,0.00292397660818713_0.000714796283059328_8.2203041512536e-05_2.48474984780907e-05
387,72,20-2-1-1,0.0892414476945959_0.0172910662824208_0.00503285334824549_0.00223627486302816
387,73,37-8-2-1,0.00574712643678161_0.00183823529411765_0.000164406083025072_4.96949969561814e-05
387,76,30-4-2-1,0.00094876660341556_0.000206739714699194_4.1101520756268e-05_1.24237492390454e-05
387,77,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
387,78,7-5-2-1,0.00018698578908003_0.00018698578908003_4.1101520756268e-05_1.24237492390454e-05
