Sample,word_ID_full,topic,p
652,1,149-12-2-1-1,0.00617828773168579_0.000824888050907377_7.28582282960542e-05_2.21863718626093e-05_2.21863718626093e-05
652,3,154-7-4-1-1,0.00105485232067511_0.000147994672191801_6.58761528326746e-05_3.16948169465847e-06_3.16948169465847e-06
652,4,133-5-2-1-1,0.00271739130434783_0.000207511931936086_3.12249549840232e-05_9.50844508397542e-06_9.50844508397542e-06
652,5,155-26-6-1-1,0.00303951367781155_0.000418118466898955_9.16590284142988e-05_9.50844508397542e-06_9.50844508397542e-06
652,6,61-9-5-1-1,0.000771604938271605_0.000349406009783368_1.64646996838778e-05_3.16948169465847e-06_3.16948169465847e-06
652,7,132-19-2-1-1,0.0010498687664042_0.000149779075863102_2.08166366560155e-05_6.33896338931695e-06_6.33896338931695e-06
652,8,132-19-2-1-1,0.0015748031496063_0.000224668613794653_3.12249549840232e-05_9.50844508397542e-06_9.50844508397542e-06
652,9,107-28-5-1-1,0.00141242937853107_0.000327868852459016_4.93940990516333e-05_9.50844508397542e-06_9.50844508397542e-06
652,10,61-9-5-1-1,0.000771604938271605_0.000349406009783368_1.64646996838778e-05_3.16948169465847e-06_3.16948169465847e-06
652,12,79-21-5-1-1,0.00203804347826087_0.000444312796208531_4.93940990516333e-05_9.50844508397542e-06_9.50844508397542e-06
652,13,131-5-2-1-1,0.00132860938883968_0.000207511931936086_3.12249549840232e-05_9.50844508397542e-06_9.50844508397542e-06
652,14,64-7-4-1-1,0.00645161290322581_0.000591978688767204_0.000263504611330698_1.26779267786339e-05_1.26779267786339e-05
652,15,25-8-2-1-1,0.000255102040816327_5.01177767754222e-05_1.04083183280077e-05_3.16948169465847e-06_3.16948169465847e-06
652,16,64-7-4-1-1,0.00161290322580645_0.000147994672191801_6.58761528326746e-05_3.16948169465847e-06_3.16948169465847e-06
652,19,25-8-2-1-1,0.000255102040816327_5.01177767754222e-05_1.04083183280077e-05_3.16948169465847e-06_3.16948169465847e-06
652,20,143-17-5-1-1,0.00293685756240822_0.000634618435665556_6.58587987355111e-05_1.26779267786339e-05_1.26779267786339e-05
652,21,64-7-4-1-1,0.00645161290322581_0.000591978688767204_0.000263504611330698_1.26779267786339e-05_1.26779267786339e-05
652,22,132-19-2-1-1,0.0031496062992126_0.000449337227589306_6.24499099680465e-05_1.90168901679508e-05_1.90168901679508e-05
652,23,64-7-4-1-1,0.00967741935483871_0.000887968033150807_0.000395256916996047_1.90168901679508e-05_1.90168901679508e-05
652,24,86-12-2-1-1,0.00232558139534884_0.000353523450388876_3.12249549840232e-05_9.50844508397542e-06_9.50844508397542e-06
652,26,112-10-5-1-1,0.000412371134020619_0.000112663361874718_1.64646996838778e-05_3.16948169465847e-06_3.16948169465847e-06
652,29,69-25-5-1-1,0.00218102508178844_0.000648613588454678_6.58587987355111e-05_1.26779267786339e-05_1.26779267786339e-05
